external_gene_name,description,search_id,MeSH_count
SORBS1,sorbin and SH3 domain containing 1 ,SORBS1,24
HSP90AB1,heat shock protein 90 alpha family class B member 1 ,HSP90AB1,78
POLE2,"DNA polymerase epsilon 2, accessory subunit ",POLE2,31
RHOV,ras homolog family member V ,RHOV,12
PLAT,"plasminogen activator, tissue type ",PLAT,83
CCNE1,cyclin E1 ,CCNE1,544
TGFBR1,transforming growth factor beta receptor 1 ,TGFBR1,313
KAT2A,lysine acetyltransferase 2A ,KAT2A,54
GAPDH,glyceraldehyde-3-phosphate dehydrogenase ,GAPDH,1115
RIPOR2,RHO family interacting cell polarization regulator 2 ,RIPOR2,6
PERP,p53 apoptosis effector related to PMP22 ,PERP,48
CLIC5,chloride intracellular channel 5 ,CLIC5,18
RASGRF2,Ras protein specific guanine nucleotide releasing factor 2 ,RASGRF2,23
WWC1,WW and C2 domain containing 1 ,WWC1,22
KAT2B,lysine acetyltransferase 2B ,KAT2B,39
APC2,APC regulator of WNT signaling pathway 2 ,APC2,58
RAP1A,"RAP1A, member of RAS oncogene family ",RAP1A,117
LAMTOR2,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 ",LAMTOR2,9
SLC2A1,solute carrier family 2 member 1 ,SLC2A1,210
DCLRE1B,DNA cross-link repair 1B ,DCLRE1B,11
SET,SET nuclear proto-oncogene ,SET,59289
RHOQ,ras homolog family member Q ,RHOQ,5
CD80,CD80 molecule ,CD80,1302
WWP1,WW domain containing E3 ubiquitin protein ligase 1 ,WWP1,67
CDKN1A,cyclin dependent kinase inhibitor 1A ,CDKN1A,1059
MED1,mediator complex subunit 1 ,MED1,126
KLC1,kinesin light chain 1 ,KLC1,15
F2RL3,F2R like thrombin or trypsin receptor 3 ,F2RL3,22
ACE2,angiotensin converting enzyme 2 ,ACE2,210
FCHO1,FCH and mu domain containing endocytic adaptor 1 ,FCHO1,4
DNMT1,DNA methyltransferase 1 ,DNMT1,1538
PPARG,peroxisome proliferator activated receptor gamma ,PPARG,354
SLX1A,"SLX1 homolog A, structure-specific endonuclease subunit ",SLX1A,2
IRAK2,interleukin 1 receptor associated kinase 2 ,IRAK2,26
SAA2,serum amyloid A2 ,SAA2,29
ITGA7,integrin subunit alpha 7 ,ITGA7,45
AGT,angiotensinogen ,AGT,358
LAMC1,laminin subunit gamma 1 ,LAMC1,74
IL6,interleukin 6 ,IL6,14223
MRPL47,mitochondrial ribosomal protein L47 ,MRPL47,2
PAPSS1,3'-phosphoadenosine 5'-phosphosulfate synthase 1 ,PAPSS1,14
GABARAPL1,GABA type A receptor associated protein like 1 ,GABARAPL1,47
PPFIA2,PTPRF interacting protein alpha 2 ,PPFIA2,1
FGF7,fibroblast growth factor 7 ,FGF7,146
FANCI,FA complementation group I ,FANCI,80
ASXL3,ASXL transcriptional regulator 3 ,ASXL3,20
BRD4,bromodomain containing 4 ,BRD4,1073
XCL1,X-C motif chemokine ligand 1 ,XCL1,47
DTL,denticleless E3 ubiquitin protein ligase homolog ,DTL,97
AFF3,ALF transcription elongation factor 3 ,AFF3,26
KANSL1L,KAT8 regulatory NSL complex subunit 1 like ,KANSL1L,2
ERLIN2,ER lipid raft associated 2 ,ERLIN2,16
MTG1,mitochondrial ribosome associated GTPase 1 ,MTG1,3
TAGLN,transgelin ,TAGLN,76
PPP4C,protein phosphatase 4 catalytic subunit ,PPP4C,12
EPS8,"EGFR pathway substrate 8, signaling adaptor ",EPS8,74
DCK,deoxycytidine kinase ,DCK,326
NRG2,neuregulin 2 ,NRG2,27
CALM3,calmodulin 3 ,CALM3,8
KCNJ3,potassium inwardly rectifying channel subfamily J member 3 ,KCNJ3,10
KIF15,kinesin family member 15 ,KIF15,53
CD3D,CD3 delta subunit of T-cell receptor complex ,CD3D,68
FEN1,flap structure-specific endonuclease 1 ,FEN1,191
IL7R,interleukin 7 receptor ,IL7R,251
P2RY12,purinergic receptor P2Y12 ,P2RY12,11
PCBP1,poly(rC) binding protein 1 ,PCBP1,79
FGB,fibrinogen beta chain ,FGB,30
CXCR6,C-X-C motif chemokine receptor 6 ,CXCR6,169
ADCY5,adenylate cyclase 5 ,ADCY5,15
VANGL1,VANGL planar cell polarity protein 1 ,VANGL1,27
SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 ",SMARCC1,39
NRXN1,neurexin 1 ,NRXN1,24
MUC16,"mucin 16, cell surface associated ",MUC16,361
MRPS16,mitochondrial ribosomal protein S16 ,MRPS16,2
SMTN,smoothelin ,SMTN,3
CCR10,C-C motif chemokine receptor 10 ,CCR10,79
SMTNL2,smoothelin like 2 ,SMTNL2,3
RBM34,RNA binding motif protein 34 ,RBM34,0
CXCL17,C-X-C motif chemokine ligand 17 ,CXCL17,40
POTEF,POTE ankyrin domain family member F ,POTEF,7
TCF4,transcription factor 4 ,TCF4,841
PCBP2,poly(rC) binding protein 2 ,PCBP2,53
SND1,staphylococcal nuclease and tudor domain containing 1 ,SND1,111
MRPL53,mitochondrial ribosomal protein L53 ,MRPL53,3
IGHD,immunoglobulin heavy constant delta ,IGHD,52
MYL5,myosin light chain 5 ,MYL5,8
TXNDC5,thioredoxin domain containing 5 ,TXNDC5,36
H2BC17,H2B clustered histone 17 ,H2BC17,0
LTF,lactotransferrin ,LTF,95
IGF1,insulin like growth factor 1 ,IGF1,3635
HGF,hepatocyte growth factor ,HGF,3333
RASGRF1,Ras protein specific guanine nucleotide releasing factor 1 ,RASGRF1,23
MYO3B,myosin IIIB ,MYO3B,2
PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma ,PPP2R2C,15
KCNQ2,potassium voltage-gated channel subfamily Q member 2 ,KCNQ2,10
TPD52,tumor protein D52 ,TPD52,102
GPC4,glypican 4 ,GPC4,21
TCF7,transcription factor 7 ,TCF7,137
MEF2C,myocyte enhancer factor 2C ,MEF2C,132
APOB,apolipoprotein B ,APOB,367
KIF3C,kinesin family member 3C ,KIF3C,14
PPP1R15A,protein phosphatase 1 regulatory subunit 15A ,PPP1R15A,34
KIF9,kinesin family member 9 ,KIF9,4
EFNB1,ephrin B1 ,EFNB1,23
DSP,desmoplakin ,DSP,205
POLR2F,"RNA polymerase II, I and III subunit F ",POLR2F,13
VTI1B,vesicle transport through interaction with t-SNAREs 1B ,VTI1B,1
SRSF5,serine and arginine rich splicing factor 5 ,SRSF5,22
BDKRB1,bradykinin receptor B1 ,BDKRB1,4
PLTP,phospholipid transfer protein ,PLTP,21
BMP7,bone morphogenetic protein 7 ,BMP7,242
KIF3B,kinesin family member 3B ,KIF3B,15
CENPI,centromere protein I ,CENPI,12
GSR,glutathione-disulfide reductase ,GSR,81
TJP3,tight junction protein 3 ,TJP3,4
RAB3A,"RAB3A, member RAS oncogene family ",RAB3A,26
PSMA2,proteasome 20S subunit alpha 2 ,PSMA2,16
RIGI,RNA sensor RIG-I ,RIGI,211
RAD51C,RAD51 paralog C ,RAD51C,389
TRIM37,tripartite motif containing 37 ,TRIM37,45
YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon ,YWHAE,140
PRPF19,pre-mRNA processing factor 19 ,PRPF19,14
RAD51AP1,RAD51 associated protein 1 ,RAD51AP1,44
MRPL51,mitochondrial ribosomal protein L51 ,MRPL51,5
COL12A1,collagen type XII alpha 1 chain ,COL12A1,55
PHF1,PHD finger protein 1 ,PHF1,90
MRPL2,mitochondrial ribosomal protein L2 ,MRPL2,1
PDGFRB,platelet derived growth factor receptor beta ,PDGFRB,516
CD86,CD86 molecule ,CD86,1321
POMC,proopiomelanocortin ,POMC,336
PSMD14,"proteasome 26S subunit, non-ATPase 14 ",PSMD14,36
FBXO6,F-box protein 6 ,FBXO6,11
SRSF11,serine and arginine rich splicing factor 11 ,SRSF11,9
RRAGC,Ras related GTP binding C ,RRAGC,10
AKT3,AKT serine/threonine kinase 3 ,AKT3,397
EBNA1BP2,EBNA1 binding protein 2 ,EBNA1BP2,1
NEK2,NIMA related kinase 2 ,NEK2,212
TJP2,tight junction protein 2 ,TJP2,15
GRIA2,glutamate ionotropic receptor AMPA type subunit 2 ,GRIA2,24
KBTBD7,kelch repeat and BTB domain containing 7 ,KBTBD7,4
TNFRSF10B,TNF receptor superfamily member 10b ,TNFRSF10B,98
TNFAIP6,TNF alpha induced protein 6 ,TNFAIP6,42
OBSL1,obscurin like cytoskeletal adaptor 1 ,OBSL1,2
TBCC,tubulin folding cofactor C ,TBCC,9
FLRT3,fibronectin leucine rich transmembrane protein 3 ,FLRT3,16
RAB3IP,RAB3A interacting protein ,RAB3IP,9
OPN1SW,"opsin 1, short wave sensitive ",OPN1SW,1
GAD1,glutamate decarboxylase 1 ,GAD1,21
FOXA1,forkhead box A1 ,FOXA1,788
NOL11,nucleolar protein 11 ,NOL11,1
MAP1B,microtubule associated protein 1B ,MAP1B,51
DAP3,death associated protein 3 ,DAP3,36
SRPK2,SRSF protein kinase 2 ,SRPK2,24
SP110,SP110 nuclear body protein ,SP110,12
RAC1,Rac family small GTPase 1 ,RAC1,1962
ACTL6A,actin like 6A ,ACTL6A,35
GYPC,glycophorin C (Gerbich blood group) ,GYPC,13
STXBP1,syntaxin binding protein 1 ,STXBP1,8
ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2 ,ENPP2,55
CCL21,C-C motif chemokine ligand 21 ,CCL21,315
SPAG8,sperm associated antigen 8 ,SPAG8,3
KIF11,kinesin family member 11 ,KIF11,142
KIF20B,kinesin family member 20B ,KIF20B,16
G3BP2,G3BP stress granule assembly factor 2 ,G3BP2,37
LEF1,lymphoid enhancer binding factor 1 ,LEF1,637
PARN,poly(A)-specific ribonuclease ,PARN,16
KSR1,kinase suppressor of ras 1 ,KSR1,49
APP,amyloid beta precursor protein ,APP,1641
KIF2C,kinesin family member 2C ,KIF2C,98
SF3B4,splicing factor 3b subunit 4 ,SF3B4,27
FLG,filaggrin ,FLG,110
SNCA,synuclein alpha ,SNCA,63
CAMK2D,calcium/calmodulin dependent protein kinase II delta ,CAMK2D,10
CCNA2,cyclin A2 ,CCNA2,311
PHIP,pleckstrin homology domain interacting protein ,PHIP,233
OGT,O-linked N-acetylglucosamine (GlcNAc) transferase ,OGT,238
CDKN2A,cyclin dependent kinase inhibitor 2A ,CDKN2A,4695
TCF7L2,transcription factor 7 like 2 ,TCF7L2,262
HYOU1,hypoxia up-regulated 1 ,HYOU1,19
LATS2,large tumor suppressor kinase 2 ,LATS2,276
TRIM36,tripartite motif containing 36 ,TRIM36,19
UBE2L6,ubiquitin conjugating enzyme E2 L6 ,UBE2L6,15
CLDN12,claudin 12 ,CLDN12,8
KCNJ6,potassium inwardly rectifying channel subfamily J member 6 ,KCNJ6,7
DPYSL5,dihydropyrimidinase like 5 ,DPYSL5,4
CACHD1,cache domain containing 1 ,CACHD1,1
ACTC1,actin alpha cardiac muscle 1 ,ACTC1,20
PTGIR,prostaglandin I2 receptor ,PTGIR,4
DPY30,dpy-30 histone methyltransferase complex regulatory subunit ,DPY30,16
ACTG2,"actin gamma 2, smooth muscle ",ACTG2,34
FZD5,frizzled class receptor 5 ,FZD5,57
CXCL5,C-X-C motif chemokine ligand 5 ,CXCL5,322
F2RL2,coagulation factor II thrombin receptor like 2 ,F2RL2,15
GPER1,G protein-coupled estrogen receptor 1 ,GPER1,91
SLC18A2,solute carrier family 18 member A2 ,SLC18A2,8
RET,ret proto-oncogene ,RET,5191
NDUFB8,NADH:ubiquinone oxidoreductase subunit B8 ,NDUFB8,19
TRIM66,tripartite motif containing 66 ,TRIM66,18
CENPN,centromere protein N ,CENPN,19
LEO1,"LEO1 homolog, Paf1/RNA polymerase II complex component ",LEO1,7
CHRFAM7A,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion ,CHRFAM7A,1
KIF5C,kinesin family member 5C ,KIF5C,8
GFRA2,GDNF family receptor alpha 2 ,GFRA2,11
SIN3A,SIN3 transcription regulator family member A ,SIN3A,92
CHRNA5,cholinergic receptor nicotinic alpha 5 subunit ,CHRNA5,99
FGG,fibrinogen gamma chain ,FGG,36
NMUR1,neuromedin U receptor 1 ,NMUR1,10
TLN2,talin 2 ,TLN2,13
KRT2,keratin 2 ,KRT2,6
JUP,junction plakoglobin ,JUP,54
DSG4,desmoglein 4 ,DSG4,2
MRPL48,mitochondrial ribosomal protein L48 ,MRPL48,5
ENTHD1,ENTH domain containing 1 ,ENTHD1,0
LPCAT4,lysophosphatidylcholine acyltransferase 4 ,LPCAT4,6
PFN4,profilin family member 4 ,PFN4,1
ERBB4,erb-b2 receptor tyrosine kinase 4 ,ERBB4,687
COX5A,cytochrome c oxidase subunit 5A ,COX5A,10
CDH5,cadherin 5 ,CDH5,62
RRH,retinal pigment epithelium-derived rhodopsin homolog ,RRH,82
H2AC6,H2A clustered histone 6 ,H2AC6,0
H2AC20,H2A clustered histone 20 ,H2AC20,0
PBX1,PBX homeobox 1 ,PBX1,492
ATP6V0C,ATPase H+ transporting V0 subunit c ,ATP6V0C,13
RPS23,ribosomal protein S23 ,RPS23,8
LAMA2,laminin subunit alpha 2 ,LAMA2,42
OCLN,occludin ,OCLN,55
TPM2,tropomyosin 2 ,TPM2,42
CD3E,CD3 epsilon subunit of T-cell receptor complex ,CD3E,80
LIME1,Lck interacting transmembrane adaptor 1 ,LIME1,4
PFDN6,prefoldin subunit 6 ,PFDN6,3
POU5F1,POU class 5 homeobox 1 ,POU5F1,221
LTB,lymphotoxin beta ,LTB,116
ATP5PO,ATP synthase peripheral stalk subunit OSCP ,ATP5PO,0
UBE2V1,ubiquitin conjugating enzyme E2 V1 ,UBE2V1,10
CEBPA,CCAAT enhancer binding protein alpha ,CEBPA,880
PSMB3,proteasome 20S subunit beta 3 ,PSMB3,8
PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta ,PRKAR2B,30
PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1 ,PAFAH1B1,16
CD79B,CD79b molecule ,CD79B,406
PLAUR,"plasminogen activator, urokinase receptor ",PLAUR,96
TACC3,transforming acidic coiled-coil containing protein 3 ,TACC3,189
MATR3,matrin 3 ,MATR3,20
HSPA5,heat shock protein family A (Hsp70) member 5 ,HSPA5,137
EPN3,epsin 3 ,EPN3,8
LAMA3,laminin subunit alpha 3 ,LAMA3,56
OPN3,opsin 3 ,OPN3,14
NGFR,nerve growth factor receptor ,NGFR,238
FGFR2,fibroblast growth factor receptor 2 ,FGFR2,1440
CACNB1,calcium voltage-gated channel auxiliary subunit beta 1 ,CACNB1,2
RASSF1,Ras association domain family member 1 ,RASSF1,316
EPHA8,EPH receptor A8 ,EPHA8,22
SEMA3A,semaphorin 3A ,SEMA3A,114
ACTB,actin beta ,ACTB,325
RIMS1,regulating synaptic membrane exocytosis 1 ,RIMS1,6
PGR,progesterone receptor ,PGR,2470
KCNK2,potassium two pore domain channel subfamily K member 2 ,KCNK2,9
RRAGB,Ras related GTP binding B ,RRAGB,6
B4GALT1,"beta-1,4-galactosyltransferase 1 ",B4GALT1,37
ICAM1,intercellular adhesion molecule 1 ,ICAM1,2237
CBX5,chromobox 5 ,CBX5,24
CENPM,centromere protein M ,CENPM,28
KDELR3,KDEL endoplasmic reticulum protein retention receptor 3 ,KDELR3,11
APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1 ,APEX1,125
GID8,GID complex subunit 8 homolog ,GID8,2
EEF1A2,eukaryotic translation elongation factor 1 alpha 2 ,EEF1A2,93
CSTF2,cleavage stimulation factor subunit 2 ,CSTF2,17
CD40LG,CD40 ligand ,CD40LG,50
DNAJC3,DnaJ heat shock protein family (Hsp40) member C3 ,DNAJC3,11
GSPT1,G1 to S phase transition 1 ,GSPT1,42
STK3,serine/threonine kinase 3 ,STK3,36
SNRNP70,small nuclear ribonucleoprotein U1 subunit 70 ,SNRNP70,5
SLC17A7,solute carrier family 17 member 7 ,SLC17A7,8
PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha ,PPP2R1A,108
H2AZ2,H2A.Z variant histone 2 ,H2AZ2,1
MYL7,myosin light chain 7 ,MYL7,3
CACNG1,calcium voltage-gated channel auxiliary subunit gamma 1 ,CACNG1,1
ZBTB16,zinc finger and BTB domain containing 16 ,ZBTB16,69
FOXM1,forkhead box M1 ,FOXM1,1344
NUP107,nucleoporin 107 ,NUP107,16
LMNB1,lamin B1 ,LMNB1,53
IFIH1,interferon induced with helicase C domain 1 ,IFIH1,21
TACR1,tachykinin receptor 1 ,TACR1,21
SDC1,syndecan 1 ,SDC1,196
EPAS1,endothelial PAS domain protein 1 ,EPAS1,183
RGS2,regulator of G protein signaling 2 ,RGS2,62
UCHL5,ubiquitin C-terminal hydrolase L5 ,UCHL5,62
CDC20,cell division cycle 20 ,CDC20,448
ARTN,artemin ,ARTN,27
UTP25,UTP25 small subunit processome component ,UTP25,1
PKD2,"polycystin 2, transient receptor potential cation channel ",PKD2,150
FKBP1B,FKBP prolyl isomerase 1B ,FKBP1B,3
CRIPT,CXXC repeat containing interactor of PDZ3 domain ,CRIPT,3
CENPL,centromere protein L ,CENPL,8
TNFSF11,TNF superfamily member 11 ,TNFSF11,48
TMPO,thymopoietin ,TMPO,56
PPP3CC,protein phosphatase 3 catalytic subunit gamma ,PPP3CC,9
KIAA1549,KIAA1549 ,KIAA1549,188
PLAU,"plasminogen activator, urokinase ",PLAU,223
LRP1,LDL receptor related protein 1 ,LRP1,200
HJURP,Holliday junction recognition protein ,HJURP,67
ACVR1C,activin A receptor type 1C ,ACVR1C,12
CSE1L,chromosome segregation 1 like ,CSE1L,85
KCNK15,potassium two pore domain channel subfamily K member 15 ,KCNK15,11
KCNK17,potassium two pore domain channel subfamily K member 17 ,KCNK17,5
SSR1,signal sequence receptor subunit 1 ,SSR1,17
BMP4,bone morphogenetic protein 4 ,BMP4,472
PSPN,persephin ,PSPN,12
SYMPK,symplekin scaffold protein ,SYMPK,6
RAP1B,"RAP1B, member of RAS oncogene family ",RAP1B,72
KRT17,keratin 17 ,KRT17,101
CALU,calumenin ,CALU,504
RPS4Y1,ribosomal protein S4 Y-linked 1 ,RPS4Y1,5
KIF1A,kinesin family member 1A ,KIF1A,34
CACNG6,calcium voltage-gated channel auxiliary subunit gamma 6 ,CACNG6,1
DKC1,dyskerin pseudouridine synthase 1 ,DKC1,68
CRP,C-reactive protein ,CRP,5136
MTUS2,microtubule associated scaffold protein 2 ,MTUS2,4
KL,klotho ,klotho ,170
BMAL1,basic helix-loop-helix ARNT like 1 ,BMAL1,192
CDK7,cyclin dependent kinase 7 ,CDK7,333
FLNB,filamin B ,FLNB,28
SPRY2,sprouty RTK signaling antagonist 2 ,SPRY2,112
SCN7A,sodium voltage-gated channel alpha subunit 7 ,SCN7A,15
KIF23,kinesin family member 23 ,KIF23,84
SMAD6,SMAD family member 6 ,SMAD6,76
CHRNA1,cholinergic receptor nicotinic alpha 1 subunit ,CHRNA1,13
KIF21A,kinesin family member 21A ,KIF21A,4
DIAPH3,diaphanous related formin 3 ,DIAPH3,33
GNAL,G protein subunit alpha L ,GNAL,9
RXRG,retinoid X receptor gamma ,RXRG,17
ILF2,interleukin enhancer binding factor 2 ,ILF2,40
SYT2,synaptotagmin 2 ,SYT2,6
MEIS1,Meis homeobox 1 ,MEIS1,316
GPR17,G protein-coupled receptor 17 ,GPR17,15
CPLX2,complexin 2 ,CPLX2,8
PRIM2,DNA primase subunit 2 ,PRIM2,17
TUT1,"terminal uridylyl transferase 1, U6 snRNA-specific ",TUT1,4
FOXO1,forkhead box O1 ,FOXO1,1210
UBC,ubiquitin C ,UBC,599
DYNLT5,dynein light chain Tctex-type family member 5 ,DYNLT5,0
SRP19,signal recognition particle 19 ,SRP19,4
SCN3A,sodium voltage-gated channel alpha subunit 3 ,SCN3A,7
LPCAT1,lysophosphatidylcholine acyltransferase 1 ,LPCAT1,66
GRIP1,glutamate receptor interacting protein 1 ,GRIP1,43
BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B ,BUB1B,210
ATP5MC1,ATP synthase membrane subunit c locus 1 ,ATP5MC1,0
GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C ,GRIN2C,3
EIF4A1,eukaryotic translation initiation factor 4A1 ,EIF4A1,54
CCDC74A,coiled-coil domain containing 74A ,CCDC74A,2
SHH,sonic hedgehog signaling molecule ,SHH,1748
DCAF13,DDB1 and CUL4 associated factor 13 ,DCAF13,12
NLGN4Y,neuroligin 4 Y-linked ,NLGN4Y,3
ARF6,ADP ribosylation factor 6 ,ARF6,141
C15orf48,chromosome 15 open reading frame 48 ,C15orf48,9
PDIA3,protein disulfide isomerase family A member 3 ,PDIA3,85
CDK12,cyclin dependent kinase 12 ,CDK12,301
CTNNB1,catenin beta 1 ,CTNNB1,2150
SCN11A,sodium voltage-gated channel alpha subunit 11 ,SCN11A,2
STIP1,stress induced phosphoprotein 1 ,STIP1,57
COL3A1,collagen type III alpha 1 chain ,COL3A1,187
GDNF,glial cell derived neurotrophic factor ,GDNF,306
CPLX1,complexin 1 ,CPLX1,1
CXCL11,C-X-C motif chemokine ligand 11 ,CXCL11,261
FASN,fatty acid synthase ,FASN,712
NLGN1,neuroligin 1 ,NLGN1,8
HNRNPF,heterogeneous nuclear ribonucleoprotein F ,HNRNPF,19
FOS,"Fos proto-oncogene, AP-1 transcription factor subunit ",FOS,2922
ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1 ,ARL6IP1,3
NRTN,neurturin ,NRTN,7
RND1,Rho family GTPase 1 ,RND1,15
SLFN11,schlafen family member 11 ,SLFN11,95
TRMT10C,"tRNA methyltransferase 10C, mitochondrial RNase P subunit ",TRMT10C,6
DDIT3,DNA damage inducible transcript 3 ,DDIT3,282
POLD4,"DNA polymerase delta 4, accessory subunit ",POLD4,11
TPRN,taperin ,TPRN,3
FAM20C,FAM20C golgi associated secretory pathway kinase ,FAM20C,16
ZBTB2,zinc finger and BTB domain containing 2 ,ZBTB2,14
C1S,complement C1s ,C1S,76
CCR3,C-C motif chemokine receptor 3 ,CCR3,132
CCR4,C-C motif chemokine receptor 4 ,CCR4,589
ADRA2C,adrenoceptor alpha 2C ,ADRA2C,6
LPAR5,lysophosphatidic acid receptor 5 ,LPAR5,32
KCNQ5,potassium voltage-gated channel subfamily Q member 5 ,KCNQ5,13
PLA2G2A,phospholipase A2 group IIA ,PLA2G2A,58
S100A4,S100 calcium binding protein A4 ,S100A4,696
MMP1,matrix metallopeptidase 1 ,MMP1,1752
DPP4,dipeptidyl peptidase 4 ,DPP4,236
MAP1LC3C,microtubule associated protein 1 light chain 3 gamma ,MAP1LC3C,18
PLCG2,phospholipase C gamma 2 ,PLCG2,96
CD2AP,CD2 associated protein ,CD2AP,26
DDX39B,DExD-box helicase 39B ,DDX39B,19
DCAF12,DDB1 and CUL4 associated factor 12 ,DCAF12,3
DCLRE1A,DNA cross-link repair 1A ,DCLRE1A,4
HLA-E,"major histocompatibility complex, class I, E ",HLA-E,268
PAM16,presequence translocase associated motor 16 ,PAM16,0
KLHL41,kelch like family member 41 ,KLHL41,2
CAPNS2,calpain small subunit 2 ,CAPNS2,0
TMEM249,transmembrane protein 249 ,TMEM249,0
TIMM23,translocase of inner mitochondrial membrane 23 ,TIMM23,6
FDX2,ferredoxin 2 ,FDX2,4
FKBP4,FKBP prolyl isomerase 4 ,FKBP4,39
SLC25A13,solute carrier family 25 member 13 ,SLC25A13,15
DNAH9,dynein axonemal heavy chain 9 ,DNAH9,14
SCN4A,sodium voltage-gated channel alpha subunit 4 ,SCN4A,6
CDK11A,cyclin dependent kinase 11A ,CDK11A,5
CLCN6,chloride voltage-gated channel 6 ,CLCN6,2
AKAP8L,A-kinase anchoring protein 8 like ,AKAP8L,4
TYROBP,transmembrane immune signaling adaptor TYROBP ,TYROBP,52
FHL1,four and a half LIM domains 1 ,FHL1,68
AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4 ,AGPAT4,5
PEX3,peroxisomal biogenesis factor 3 ,PEX3,13
DEPDC1B,DEP domain containing 1B ,DEPDC1B,27
KCNH2,potassium voltage-gated channel subfamily H member 2 ,KCNH2,27
TRAF1,TNF receptor associated factor 1 ,TRAF1,148
LPAR2,lysophosphatidic acid receptor 2 ,LPAR2,31
ERBB3,erb-b2 receptor tyrosine kinase 3 ,ERBB3,1201
COL17A1,collagen type XVII alpha 1 chain ,COL17A1,31
NEO1,neogenin 1 ,NEO1,15
VPS35,VPS35 retromer complex component ,VPS35,17
LRP6,LDL receptor related protein 6 ,LRP6,243
CSNK2A2,casein kinase 2 alpha 2 ,CSNK2A2,11
TRIP13,thyroid hormone receptor interactor 13 ,TRIP13,94
LNX1,ligand of numb-protein X 1 ,LNX1,8
IGF2BP2,insulin like growth factor 2 mRNA binding protein 2 ,IGF2BP2,277
RGS11,regulator of G protein signaling 11 ,RGS11,4
RAP1GAP,RAP1 GTPase activating protein ,RAP1GAP,59
VDAC3,voltage dependent anion channel 3 ,VDAC3,20
CXCL2,C-X-C motif chemokine ligand 2 ,CXCL2,280
DNMT3B,DNA methyltransferase 3 beta ,DNMT3B,798
RNF31,ring finger protein 31 ,RNF31,21
CDC45,cell division cycle 45 ,CDC45,82
BLNK,B cell linker ,BLNK,72
FKBP5,FKBP prolyl isomerase 5 ,FKBP5,89
ITPR3,"inositol 1,4,5-trisphosphate receptor type 3 ",ITPR3,27
JAK2,Janus kinase 2 ,JAK2,4258
KCNK6,potassium two pore domain channel subfamily K member 6 ,KCNK6,2
GSTZ1,glutathione S-transferase zeta 1 ,GSTZ1,31
CD40,CD40 molecule ,CD40,2097
PTK6,protein tyrosine kinase 6 ,PTK6,114
E2F1,E2F transcription factor 1 ,E2F1,2228
TAFAZZIN,"tafazzin, phospholipid-lysophospholipid transacylase ",TAFAZZIN,21
TIMP1,TIMP metallopeptidase inhibitor 1 ,TIMP1,1969
FLT1,fms related receptor tyrosine kinase 1 ,FLT1,595
RPGRIP1L,RPGRIP1 like ,RPGRIP1L,3
TRPA1,transient receptor potential cation channel subfamily A member 1 ,TRPA1,81
MCM4,minichromosome maintenance complex component 4 ,MCM4,109
FGL1,fibrinogen like 1 ,FGL1,46
CD79A,CD79a molecule ,CD79A,859
SCN1B,sodium voltage-gated channel beta subunit 1 ,SCN1B,8
CEP41,centrosomal protein 41 ,CEP41,2
DVL1,dishevelled segment polarity protein 1 ,DVL1,81
CXCL12,C-X-C motif chemokine ligand 12 ,CXCL12,2016
RAB5C,"RAB5C, member RAS oncogene family ",RAB5C,13
LUC7L3,LUC7 like 3 pre-mRNA splicing factor ,LUC7L3,8
ALDH2,aldehyde dehydrogenase 2 family member ,ALDH2,430
LTBR,lymphotoxin beta receptor ,LTBR,48
COPZ1,COPI coat complex subunit zeta 1 ,COPZ1,9
PTPN6,protein tyrosine phosphatase non-receptor type 6 ,PTPN6,70
CCR6,C-C motif chemokine receptor 6 ,CCR6,294
BYSL,bystin like ,BYSL,10
DUSP22,dual specificity phosphatase 22 ,DUSP22,101
BTNL8,butyrophilin like 8 ,BTNL8,6
MACROH2A1,macroH2A.1 histone ,MACROH2A1,31
KNG1,kininogen 1 ,KNG1,30
PCCB,propionyl-CoA carboxylase subunit beta ,PCCB,1
ECT2,epithelial cell transforming 2 ,ECT2,131
