,gene_id,search_string,MeSH_count
219,ALOX15,"(""ALOX15"" OR ""12-LOX"" OR ""15-LOX"" OR ""15-LOX-1"" OR ""LOG15"")",913
220,ALOXE3,"(""ALOXE3"" OR ""ARCI3"" OR ""E-LOX"" OR ""LI5"" OR ""eLOX-3"" OR ""eLOX3"")",111
221,ALPK1,"(""ALPK1"" OR ""8430410J10Rik"" OR ""LAK"" OR ""ROSAH"")",3498
222,ALPK2,"(""ALPK2"" OR ""HAK"")",1367
223,ALPK3,"(""ALPK3"" OR ""CMH27"" OR ""MAK"" OR ""MIDORI"")",12482
224,ALPL,"(""ALPL"" OR ""AP-TNAP"" OR ""APTNAP"" OR ""HOPS"" OR ""HPPA"" OR ""HPPC"" OR ""HPPI"" OR ""HPPO"" OR ""TNALP"" OR ""TNAP"" OR ""TNS-ALP"" OR ""TNSALP"")",2103
225,ALS2CL,"(""ALS2CL"" OR ""RN49018"")",12
226,ALX4,"(""ALX4"" OR ""CRS5"" OR ""FND2"")",123
227,ALYREF,"(""ALYREF"" OR ""ALY"" OR ""ALY/REF"" OR ""BEF"" OR ""REF"" OR ""THOC4"")",13190
228,AMACR,"(""AMACR"" OR ""AMACRD"" OR ""CBAS4"" OR ""P504S"" OR ""RACE"" OR ""RM"")",166999
229,AMBP,"(""AMBP"" OR ""A1M"" OR ""EDC1"" OR ""HCP"" OR ""HI30"" OR ""IATIL"" OR ""ITI"" OR ""ITIL"" OR ""ITILC"" OR ""UTI"")",18555
230,AMFR,"(""AMFR"" OR ""GP78"" OR ""RNF45"" OR ""SPG89"")",343
231,AMH,"(""AMH"" OR ""MIF"" OR ""MIS"")",22046
232,AMMECR1,"(""AMMECR1"" OR ""AMMERC1"" OR ""MFHIEN"")",18
233,AMN,"(""AMN"" OR ""IGS2"" OR ""PRO1028"" OR ""amnionless"")",1366
234,AMOT,"(""AMOT"")",147
235,AMOTL2,"(""AMOTL2"" OR ""LCCP"")",90
236,AMPH,"(""AMPH"" OR ""AMPH1"")",363
237,AMT,"(""AMT"" OR ""GCE"" OR ""GCE2"" OR ""GCST"" OR ""GCVT"" OR ""NKH"")",4361
238,AMY2B,"(""AMY2B"" OR ""AMY2"" OR ""AMY3"" OR ""HXA"")",119
239,AMZ1,"(""AMZ1"")",5
240,ANAPC10,"(""ANAPC10"" OR ""APC10"" OR ""DOC1"")",69
241,ANAPC16,"(""ANAPC16"" OR ""APC16"" OR ""C10orf104"" OR ""CENP-27"" OR ""MSAG"" OR ""bA570G20.3"")",15
242,ANG,"(""ANG"" OR ""ALS9"" OR ""HEL168"" OR ""RAA1"" OR ""RNASE4"" OR ""RNASE5"")",22167
243,ANGPT1,"(""ANGPT1"" OR ""AGP1"" OR ""AGPT"" OR ""AGPT-1"" OR ""ANG1"" OR ""HAE5"")",1956
244,ANGPT2,"(""ANGPT2"" OR ""AGPT2"" OR ""ANG2"" OR ""LMPHM10"")",2174
245,ANGPT4,"(""ANGPT4"" OR ""ANG3"" OR ""ANG4"")",75
246,ANGPTL1,"(""ANGPTL1"" OR ""ANG3"" OR ""ANGPT3"" OR ""ARP1"" OR ""AngY"" OR ""UNQ162"" OR ""dJ595C2.2"")",232
247,ANGPTL2,"(""ANGPTL2"" OR ""ARP2"" OR ""HARP"")",2160
248,ANGPTL4,"(""ANGPTL4"" OR ""ARP4"" OR ""FIAF"" OR ""HARP"" OR ""HFARP"" OR ""NL2"" OR ""PGAR"" OR ""TGQTL"" OR ""UNQ171"" OR ""pp1158"")",1769
249,ANGPTL5,"(""ANGPTL5"")",23
250,ANGPTL7,"(""ANGPTL7"" OR ""AngX"" OR ""CDT6"" OR ""dJ647M16.1"")",61
251,ANGPTL8,"(""ANGPTL8"" OR ""C19orf80"" OR ""PRO1185"" OR ""PVPA599"" OR ""RIFL"" OR ""TD26"")",293
252,ANK1,"(""ANK1"" OR ""ANK"" OR ""SPH1"" OR ""SPH2"" OR ""ankyrin-1"")",1466
253,ANK2,"(""ANK2"" OR ""ANK-2"" OR ""CFAP87"" OR ""FAP87"" OR ""LQT4"" OR ""brank-2"")",177
254,ANK3,"(""ANK3"" OR ""ANKYRIN-G"" OR ""MRT37"")",302
255,ANKHD1,"(""ANKHD1"" OR ""MASK"" OR ""MASK1"" OR ""PP2500"" OR ""VBARP"")",28544
256,ANKRD1,"(""ANKRD1"" OR ""ALRP"" OR ""C-193"" OR ""CARP"" OR ""CVARP"" OR ""MCARP"" OR ""bA320F15.2"")",2340
257,ANKRD13A,"(""ANKRD13A"" OR ""ANKRD13"" OR ""NY-REN-25"")",10
258,ANKRD2,"(""ANKRD2"" OR ""ARPP"")",89
259,ANKRD29,"(""ANKRD29"")",3
260,ANKRD33B,"(""ANKRD33B"")",2
261,ANKRD36B,"(""ANKRD36B"" OR ""KIAA1641"")",3
262,ANKRD50,"(""ANKRD50"")",5
263,ANKS1B,"(""ANKS1B"" OR ""AIDA"" OR ""AIDA-1"" OR ""ANKS2"" OR ""EB-1"" OR ""EB1"" OR ""cajalin-2"")",3044
264,ANKS6,"(""ANKS6"" OR ""ANKRD14"" OR ""NPHP16"" OR ""PKDR1"" OR ""SAMD6"")",32
265,ANLN,"(""ANLN"" OR ""FSGS8"" OR ""Scraps"" OR ""scra"")",376
266,ANO1,"(""ANO1"" OR ""DOG1"" OR ""INDMS"" OR ""MYMY7"" OR ""ORAOV2"" OR ""TAOS2"" OR ""TMEM16A"")",1115
267,ANO2,"(""ANO2"" OR ""C12orf3"" OR ""TMEM16B"")",104
268,ANOS1,"(""ANOS1"" OR ""ADMLX"" OR ""HH1"" OR ""HHA"" OR ""KAL"" OR ""KAL1"" OR ""KALIG-1"" OR ""KMS"" OR ""WFDC19"")",4644
269,ANP32A,"(""ANP32A"" OR ""C15orf1"" OR ""HPPCn"" OR ""I1PP2A"" OR ""LANP"" OR ""MAPM"" OR ""PHAP1"" OR ""PHAPI"" OR ""PP32"")",260
270,ANP32E,"(""ANP32E"" OR ""LANP-L"" OR ""LANPL"")",44
271,ANTXR2,"(""ANTXR2"" OR ""CMG-2"" OR ""CMG2"" OR ""HFS"" OR ""ISH"" OR ""JHF"")",7781
272,ANXA1,"(""ANXA1"" OR ""ANX1"" OR ""LPC1"")",737
273,AOC1,"(""AOC1"" OR ""ABP"" OR ""ABP1"" OR ""DAO"" OR ""DAO1"" OR ""KAO"" OR ""KDAO"")",22289
274,AOC2,"(""AOC2"" OR ""DAO2"" OR ""RAO"" OR ""SSAO"")",41782
275,AOC3,"(""AOC3"" OR ""HPAO"" OR ""SSAO"" OR ""VAP-1"" OR ""VAP1"")",530
276,AOX1,"(""AOX1"" OR ""AO"" OR ""AOH1"")",33178
277,AP1G2,"(""AP1G2"" OR ""G2AD"")",9
278,AP1M2,"(""AP1M2"" OR ""AP1-mu2"" OR ""HSMU1B"" OR ""MU-1B"" OR ""MU1B"" OR ""mu2"")",282
279,AP1S1,"(""AP1S1"" OR ""AP19"" OR ""CLAPS1"" OR ""EKV3"" OR ""MEDNIK"" OR ""SIGMA1A"")",48
280,AP1S3,"(""AP1S3"" OR ""PSORS15"" OR ""sigma1C"")",37
281,AP2B1,"(""AP2B1"" OR ""ADTB2"" OR ""AP105B"" OR ""AP2-BETA"" OR ""CLAPB1"")",34
282,AP2M1,"(""AP2M1"" OR ""AP50"" OR ""CLAPM1"" OR ""MRD60"" OR ""mu2"")",390
283,AP3S2,"(""AP3S2"" OR ""AP3S3"" OR ""sigma3b"")",12
284,AP4B1,"(""AP4B1"" OR ""BETA-4"" OR ""CPSQ5"" OR ""SPG47"")",3936
285,AP4E1,"(""AP4E1"" OR ""CPSQ4"" OR ""SPG51"" OR ""STUT1"")",4883
286,APBA2,"(""APBA2"" OR ""D15S1518E"" OR ""HsT16821"" OR ""LIN-10"" OR ""MGC:14091"" OR ""MINT2"" OR ""X11-BETA"" OR ""X11L"")",165
287,APBB3,"(""APBB3"" OR ""FE65L2"" OR ""SRA"")",3596
288,APC2,"(""APC2"" OR ""APCL"" OR ""MRT74"")",199
289,APCDD1,"(""APCDD1"" OR ""B7323"" OR ""DRAPC1"" OR ""FP7019"" OR ""HHS"" OR ""HTS"" OR ""HYPT1"")",1957467
290,APEH,"(""APEH"" OR ""AARE"" OR ""ACPH"" OR ""APH"" OR ""D3F15S2"" OR ""D3S48E"" OR ""DNF15S2"" OR ""OPH"")",2533
291,APELA,"(""APELA"" OR ""ELA"" OR ""Ende"" OR ""tdl"")",4094
292,APEX1,"(""APEX1"" OR ""APE"" OR ""APE1"" OR ""APEN"" OR ""APEX"" OR ""APX"" OR ""HAP1"" OR ""REF1"")",28826
293,APEX2,"(""APEX2"" OR ""APE2"" OR ""APEXL2"" OR ""XTH2"" OR ""ZGRF2"")",202
294,APH1A,"(""APH1A"" OR ""6530402N02Rik"" OR ""APH-1"" OR ""APH-1A"" OR ""CGI-78"")",221
295,APIP,"(""APIP"" OR ""APIP2"" OR ""CGI-29"" OR ""CGI29"" OR ""MMRP19"" OR ""hAPIP"")",75
296,APLNR,"(""APLNR"" OR ""AGTRL1"" OR ""APJ"" OR ""APJR"" OR ""HG11"")",940
297,APLP1,"(""APLP1"" OR ""APLP"")",253
298,APLP2,"(""APLP2"" OR ""APLP-2"" OR ""APPH"" OR ""APPL2"" OR ""CDEBP"")",270
299,APMAP,"(""APMAP"" OR ""BSCv"" OR ""C20orf3"")",27
300,APOA2,"(""APOA2"" OR ""Apo-AII"" OR ""ApoA-II"" OR ""apoAII"")",1186
301,APOA4,"(""APOA4"")",224
302,APOB,"(""APOB"" OR ""FCHL2"" OR ""FLDB"" OR ""LDLCQ4"" OR ""apoB-100"" OR ""apoB-48"")",8114
303,APOBEC2,"(""APOBEC2"" OR ""ARCD1"" OR ""ARP1"")",186
304,APOBEC3B,"(""APOBEC3B"" OR ""A3B"" OR ""APOBEC1L"" OR ""ARCD3"" OR ""ARP4"" OR ""DJ742C19.2"" OR ""PHRBNL"" OR ""bK150C2.2"")",524
305,APOBEC3D,"(""APOBEC3D"" OR ""A3D"" OR ""A3DE"" OR ""APOBEC3DE"" OR ""APOBEC3E"" OR ""ARP6"")",2616
306,APOBEC3F,"(""APOBEC3F"" OR ""A3F"" OR ""ARP8"" OR ""BK150C2.4.MRNA"" OR ""KA6"")",418
307,APOBEC3G,"(""APOBEC3G"" OR ""A3G"" OR ""ARCD"" OR ""ARP-9"" OR ""ARP9"" OR ""CEM-15"" OR ""CEM15"" OR ""MDS019"" OR ""bK150C2.7"" OR ""dJ494G10.1"")",1212
308,APOBEC3H,"(""APOBEC3H"" OR ""A3H"" OR ""ARP-10"" OR ""ARP10"")",1828
309,APOBR,"(""APOBR"" OR ""APOB100R"" OR ""APOB48R"")",24
310,APOC2,"(""APOC2"" OR ""APO-CII"" OR ""APOC-II"")",707
311,APOD,"(""APOD"")",559
312,APOF,"(""APOF"" OR ""Apo-F"" OR ""LTIP"")",60
313,APOO,"(""APOO"" OR ""FAM121B"" OR ""MIC26"" OR ""MICOS26"" OR ""Mic23"" OR ""My025"")",40
314,APP,"(""APP"" OR ""AAA"" OR ""ABETA"" OR ""ABPP"" OR ""AD1"" OR ""APPI"" OR ""CTFgamma"" OR ""CVAP"" OR ""PN-II"" OR ""PN2"" OR ""alpha-sAPP"" OR ""preA4"")",63796
315,AQP1,"(""AQP1"" OR ""AQP-CHIP"" OR ""CHIP28"" OR ""CO"")",606324
316,AQP3,"(""AQP3"" OR ""AQP-3"" OR ""GIL"")",21003
317,AQP5,"(""AQP5"" OR ""AQP-5"" OR ""PPKB"")",558
318,AQP7,"(""AQP7"" OR ""AQP7L"" OR ""AQPap"" OR ""GLYCQTL"")",186
319,AQP8,"(""AQP8"" OR ""AQP-8"")",161
320,AR,"(""AR"" OR ""AIS"" OR ""AR8"" OR ""DHTR"" OR ""HUMARA"" OR ""HYSP1"" OR ""KD"" OR ""NR3C4"" OR ""SBMA"" OR ""SMAX1"" OR ""TFM"")",200707
321,ARAF,"(""ARAF"" OR ""A-RAF"" OR ""ARAF1"" OR ""PKS2"" OR ""RAFA1"")",739
322,ARAP3,"(""ARAP3"" OR ""CENTD3"" OR ""DRAG1"")",39
323,ARF1,"(""ARF1"" OR ""PVNH8"")",599
324,ARF4,"(""ARF4"" OR ""ARF2"")",100
325,ARF6,"(""ARF6"")",715
326,ARFGEF1,"(""ARFGEF1"" OR ""ARFGEP1"" OR ""BIG1"" OR ""DEDISB"" OR ""P200"")",1128
327,ARFGEF3,"(""ARFGEF3"" OR ""A7322"" OR ""BIG3"" OR ""C6orf92"" OR ""KIAA1244"" OR ""PPP1R33"" OR ""dJ171N11.1"")",37
328,ARG1,"(""ARG1"")",1448
329,ARGLU1,"(""ARGLU1"")",15
330,ARHGAP10,"(""ARHGAP10"" OR ""GRAF2"" OR ""PS-GAP"" OR ""PSGAP"")",35
331,ARHGAP11A,"(""ARHGAP11A"" OR ""GAP (1-12)"")",434
332,ARHGAP20,"(""ARHGAP20"" OR ""RARHOGAP"")",13
333,ARHGAP23,"(""ARHGAP23"")",8
334,ARHGAP24,"(""ARHGAP24"" OR ""FILGAP"" OR ""RC-GAP72"" OR ""RCGAP72"" OR ""p73"" OR ""p73RhoGAP"")",2393
335,ARHGAP26,"(""ARHGAP26"" OR ""GRAF"" OR ""GRAF1"" OR ""OPHN1L"" OR ""OPHN1L1"")",7637
336,ARHGAP33,"(""ARHGAP33"" OR ""NOMA-GAP"" OR ""SNX26"" OR ""TCGAP"")",15
337,ARHGAP35,"(""ARHGAP35"" OR ""GRF-1"" OR ""GRLF1"" OR ""P190-A"" OR ""P190A"" OR ""p190ARhoGAP"" OR ""p190RhoGAP"")",319
338,ARHGAP36,"(""ARHGAP36"")",16
339,ARHGAP39,"(""ARHGAP39"" OR ""CrGAP"" OR ""Vilse"")",13
340,ARHGAP8,"(""ARHGAP8"" OR ""BPGAP1"" OR ""PP610"")",19
341,ARHGDIB,"(""ARHGDIB"" OR ""D4"" OR ""GDIA2"" OR ""GDID4"" OR ""LYGDI"" OR ""Ly-GDI"" OR ""RAP1GN1"" OR ""RhoGDI2"")",8856
342,ARHGDIG,"(""ARHGDIG"" OR ""RHOGDI-3"")",16
343,ARHGEF10,"(""ARHGEF10"" OR ""GEF10"" OR ""SNCV"")",229
344,ARHGEF15,"(""ARHGEF15"" OR ""ARGEF15"" OR ""E5"" OR ""Ephexin5"" OR ""Vsm-RhoGEF"")",6475
345,ARHGEF17,"(""ARHGEF17"" OR ""P164RHOGEF"" OR ""RHOGEF17"" OR ""TEM4"" OR ""p164-RhoGEF"")",42
346,ARHGEF25,"(""ARHGEF25"" OR ""GEFT"" OR ""p63RhoGEF"")",127
347,ARHGEF38,"(""ARHGEF38"")",5
348,ARHGEF4,"(""ARHGEF4"" OR ""ASEF"" OR ""ASEF1"" OR ""GEF4"" OR ""SMIM39"" OR ""STM6"")",103
349,ARHGEF40,"(""ARHGEF40"" OR ""SOLO"")",4042
350,ARHGEF7,"(""ARHGEF7"" OR ""BETA-PIX"" OR ""COOL-1"" OR ""COOL1"" OR ""Nbla10314"" OR ""P50"" OR ""P50BP"" OR ""P85"" OR ""P85COOL1"" OR ""P85SPR"" OR ""PAK3"" OR ""PIXB"")",87586
351,ARID3A,"(""ARID3A"" OR ""BRIGHT"" OR ""DRIL1"" OR ""DRIL3"" OR ""E2FBP1"")",17369
352,ARID5A,"(""ARID5A"" OR ""MRF-1"" OR ""MRF1"" OR ""RP11-363D14"")",53
353,ARID5B,"(""ARID5B"" OR ""DESRT"" OR ""MRF-2"" OR ""MRF2"")",169
354,ARIH1,"(""ARIH1"" OR ""ARI"" OR ""HARI"" OR ""HHARI"" OR ""UBCH7BP"")",7786
355,ARL1,"(""ARL1"" OR ""ARFL1"")",69
356,ARL11,"(""ARL11"" OR ""ARLTS1"")",36
357,ARL2,"(""ARL2"" OR ""ARFL2"" OR ""MRCS1"")",89
358,ARL2BP,"(""ARL2BP"" OR ""BART"" OR ""BART1"" OR ""RP66"" OR ""RP82"")",5058
359,ARL3,"(""ARL3"" OR ""ARFL3"" OR ""JBTS35"" OR ""RP83"")",89
360,ARL4A,"(""ARL4A"" OR ""ARL4"")",25
361,ARL6IP1,"(""ARL6IP1"" OR ""AIP1"" OR ""ARL6IP"" OR ""ARMER"" OR ""SPG61"")",365
362,ARL6IP4,"(""ARL6IP4"" OR ""SFRS20"" OR ""SR-25"" OR ""SRp25"" OR ""SRrp37"")",26
363,ARMC1,"(""ARMC1"" OR ""Arcp"")",52
364,ARMC12,"(""ARMC12"" OR ""C6orf81"" OR ""SPGF90"")",5
365,ARMT1,"(""ARMT1"" OR ""C6orf211"")",12
366,ARNT2,"(""ARNT2"" OR ""WEDAS"" OR ""bHLHe1"")",83
367,ARPC1A,"(""ARPC1A"" OR ""Arc40"" OR ""HEL-68"" OR ""HEL-S-307"" OR ""SOP2Hs"" OR ""SOP2L"")",29
368,ARPC1B,"(""ARPC1B"" OR ""ARC41"" OR ""IMD71"" OR ""PLTEID"" OR ""p40-ARC"" OR ""p41-ARC"")",71
369,ARR3,"(""ARR3"" OR ""ARRX"" OR ""MYP26"" OR ""cArr"")",14753
370,ARRB1,"(""ARRB1"" OR ""ARB1"" OR ""ARR1"")",351
371,ARRB2,"(""ARRB2"" OR ""ARB2"" OR ""ARR2"" OR ""BARR2"")",478
372,ARRDC2,"(""ARRDC2"" OR ""CLONE24945"" OR ""PP2703"")",5
373,ARSD,"(""ARSD"" OR ""ASD"")",28107
374,ARSG,"(""ARSG"" OR ""USH4"")",29
375,ARSH,"(""ARSH"" OR ""sulfatase"")",4029
376,ARSL,"(""ARSL"" OR ""ARSE"" OR ""ASE"" OR ""CDPX"" OR ""CDPX1"" OR ""CDPXR"")",2488
377,ARTN,"(""ARTN"" OR ""ART"" OR ""ENOVIN"" OR ""EVN"" OR ""NBN"")",110425
378,ARX,"(""ARX"" OR ""CT121"" OR ""EIEE1"" OR ""ISSX"" OR ""MRX29"" OR ""MRX32"" OR ""MRX33"" OR ""MRX36"" OR ""MRX38"" OR ""MRX43"" OR ""MRX54"" OR ""MRX76"" OR ""MRX87"" OR ""MRXS1"" OR ""PRTS"")",712
379,ASAH1,"(""ASAH1"" OR ""AC"" OR ""ACDase"" OR ""ASAH"" OR ""PHP"" OR ""PHP32"" OR ""SMAPME"")",811096
380,ASB1,"(""ASB1"" OR ""ASB-1"")",89
381,ASB12,"(""ASB12"")",4
382,ASB14,"(""ASB14"")",14
383,ASCL1,"(""ASCL1"" OR ""ASH1"" OR ""HASH1"" OR ""MASH1"" OR ""bHLHa46"")",811
384,ASCL2,"(""ASCL2"" OR ""ASH2"" OR ""HASH2"" OR ""MASH2"" OR ""bHLHa45"")",186
385,ASF1A,"(""ASF1A"" OR ""CGI-98"" OR ""CIA"" OR ""HSPC146"")",2821
386,ASF1B,"(""ASF1B"" OR ""CIA-II"")",86
387,ASH2L,"(""ASH2L"" OR ""ASH2"" OR ""ASH2L1"" OR ""ASH2L2"" OR ""Bre2"")",167
388,ASIC2,"(""ASIC2"" OR ""ACCN"" OR ""ACCN1"" OR ""ASIC2a"" OR ""BNC1"" OR ""BNaC1"" OR ""MDEG"" OR ""hBNaC1"")",267
389,ASIC3,"(""ASIC3"" OR ""ACCN3"" OR ""DRASIC"" OR ""SLNAC1"" OR ""TNaC1"")",171
390,ASIP,"(""ASIP"" OR ""AGSW"" OR ""AGTI"" OR ""AGTIL"" OR ""ASP"" OR ""SHEP9"")",18548
391,ASL,"(""ASL"" OR ""ASAL"")",12475
392,ASNS,"(""ASNS"" OR ""ASNSD"" OR ""TS11"")",292
393,ASNSD1,"(""ASNSD1"" OR ""NBLA00058"" OR ""NS3TP1"")",10
394,ASPA,"(""ASPA"" OR ""ACY2"" OR ""ASP"")",18693
395,ASPG,"(""ASPG"" OR ""C14orf76"" OR ""GPA/WT"" OR ""LYSOLP"" OR ""hASNase1"")",84
396,ASPHD2,"(""ASPHD2"")",2
397,ASPM,"(""ASPM"" OR ""ASP"" OR ""Calmbp1"" OR ""MCPH5"")",18706
398,ASPN,"(""ASPN"" OR ""OS3"" OR ""PLAP-1"" OR ""PLAP1"" OR ""SLRR1C"")",449
399,ASPRV1,"(""ASPRV1"" OR ""ADLI"" OR ""MUNO"" OR ""SASP"" OR ""SASPase"" OR ""Taps"")",4806
400,ASPSCR1,"(""ASPSCR1"" OR ""ASPCR1"" OR ""ASPL"" OR ""ASPS"" OR ""RCC17"" OR ""TUG"" OR ""UBXD9"" OR ""UBXN9"")",5189
401,ASTN1,"(""ASTN1"" OR ""ASTN"")",37
402,ASXL3,"(""ASXL3"" OR ""BRPS"" OR ""KIAA1713"")",122
403,ATAD2,"(""ATAD2"" OR ""ANCCA"" OR ""CT137"" OR ""PRO2000"")",179
404,ATF1,"(""ATF1"" OR ""EWS-ATF1"" OR ""FUS/ATF-1"" OR ""TREB36"")",611
405,ATF3,"(""ATF3"")",1218
406,ATF6,"(""ATF6"" OR ""ACHM7"" OR ""ATF6A"" OR ""ATP6alpha"")",1570
407,ATG16L1,"(""ATG16L1"" OR ""APG16L"" OR ""ATG16A"" OR ""ATG16L"" OR ""IBD10"" OR ""WDR30"")",802
408,ATG16L2,"(""ATG16L2"" OR ""ATG16B"" OR ""WDR80"")",40
409,ATG3,"(""ATG3"" OR ""APG3"" OR ""APG3-LIKE"" OR ""APG3L"" OR ""PC3-96"" OR ""hApg3"")",307
410,ATG4B,"(""ATG4B"" OR ""APG4B"" OR ""AUTL1"" OR ""HsAPG4B"")",229
411,ATG9A,"(""ATG9A"" OR ""APG9L1"" OR ""MGD3208"" OR ""mATG9"")",178
412,ATIC,"(""ATIC"" OR ""AICAR"" OR ""AICARFT"" OR ""HEL-S-70p"" OR ""IMPCHASE"" OR ""PURH"")",1231
413,ATMIN,"(""ATMIN"" OR ""ASCIZ"" OR ""ZNF822"")",51
414,ATOH8,"(""ATOH8"" OR ""HATH6"" OR ""bHLHa21"")",39
415,ATOX1,"(""ATOX1"" OR ""ATX1"" OR ""HAH1"")",294
416,ATP11A,"(""ATP11A"" OR ""ATPIH"" OR ""ATPIS"" OR ""AUNA2"" OR ""DFNA84"" OR ""HLD24"")",49
417,ATP1A1,"(""ATP1A1"" OR ""CMT2DD"" OR ""HOMGSMR2"")",314
418,ATP1A2,"(""ATP1A2"" OR ""DEE98"" OR ""FARIMPD"" OR ""FHM2"" OR ""MHP2"")",310
419,ATP1A4,"(""ATP1A4"" OR ""ATP1A1"" OR ""ATP1AL2"")",335
420,ATP1B1,"(""ATP1B1"" OR ""ATP1B"")",130
421,ATP1B2,"(""ATP1B2"" OR ""AMOG"")",67
422,ATP2A1,"(""ATP2A1"" OR ""ATP2A"" OR ""SERCA1"")",229
423,ATP2A2,"(""ATP2A2"" OR ""ATP2B"" OR ""DAR"" OR ""DD"" OR ""SERCA2"")",34566
424,ATP2A3,"(""ATP2A3"" OR ""SERCA3"")",129
425,ATP2B1,"(""ATP2B1"" OR ""MRD66"" OR ""PMCA1"" OR ""PMCA1kb"")",217
426,ATP2C2,"(""ATP2C2"" OR ""SPCA2"")",57
427,ATP5F1B,"(""ATP5F1B"" OR ""ATP5B"" OR ""ATPMB"" OR ""ATPSB"" OR ""HEL-S-271"" OR ""HUMOP2"")",177
428,ATP5IF1,"(""ATP5IF1"" OR ""ATPI"" OR ""ATPIF1"" OR ""ATPIP"" OR ""IP"")",48717
429,ATP5MC1,"(""ATP5MC1"" OR ""ATP5A"" OR ""ATP5G"" OR ""ATP5G1"")",76
430,ATP5MG,"(""ATP5MG"" OR ""ATP5JG"" OR ""ATP5L"")",11
431,ATP5PF,"(""ATP5PF"" OR ""ATP5"" OR ""ATP5A"" OR ""ATP5J"" OR ""ATPM"" OR ""CF6"" OR ""F6"")",3415
432,ATP5PO,"(""ATP5PO"" OR ""ATP5O"" OR ""ATPO"" OR ""HMC08D05"" OR ""MC5DN7"" OR ""OSCP"")",207
433,ATP6,"(""ATP6"" OR ""MT-ATP6"" OR ""ATPase6"" OR ""MTATP6"")",507
434,ATP6AP1,"(""ATP6AP1"" OR ""16A"" OR ""ATP6IP1"" OR ""ATP6S1"" OR ""Ac45"" OR ""CF2"" OR ""VATPS1"" OR ""XAP-3"" OR ""XAP3"")",1373
435,ATP6AP2,"(""ATP6AP2"" OR ""(P)RR"" OR ""APT6M8-9"" OR ""ATP6IP2"" OR ""ATP6M8-9"" OR ""CDG2R"" OR ""ELDF10"" OR ""HT028"" OR ""M8-9"" OR ""MRXE"" OR ""MRXSH"" OR ""MSTP009"" OR ""PRR"" OR ""RENR"" OR ""XMRE"" OR ""XPDS"")",2527
436,ATP6V0A2,"(""ATP6V0A2"" OR ""A2"" OR ""ARCL"" OR ""ARCL2A"" OR ""ATP6A2"" OR ""ATP6N1D"" OR ""J6B7"" OR ""RTF"" OR ""STV1"" OR ""TJ6"" OR ""TJ6M"" OR ""TJ6S"" OR ""VPH1"" OR ""WSS"" OR ""a2V"")",167546
437,ATP6V0A4,"(""ATP6V0A4"" OR ""A4"" OR ""ATP6N1B"" OR ""ATP6N2"" OR ""DRTA3"" OR ""RDRTA2"" OR ""RTA1C"" OR ""RTADR"" OR ""STV1"" OR ""VPH1"" OR ""VPP2"")",78383
438,ATP6V0B,"(""ATP6V0B"" OR ""ATP6F"" OR ""HATPL"" OR ""VMA16"")",13
439,ATP6V0C,"(""ATP6V0C"" OR ""ATP6C"" OR ""ATP6L"" OR ""ATPL"" OR ""EPEO3"" OR ""VATL"" OR ""VPPC"" OR ""Vma3"")",101
440,ATP6V0D2,"(""ATP6V0D2"" OR ""ATP6D2"" OR ""VMA6"")",56
441,ATP6V0E2,"(""ATP6V0E2"" OR ""ATP6V0E2L"" OR ""C7orf32"")",4
442,ATP6V1A,"(""ATP6V1A"" OR ""ARCL2D"" OR ""ATP6A1"" OR ""ATP6V1A1"" OR ""DEE93"" OR ""HO68"" OR ""IECEE3"" OR ""VA68"" OR ""VPP2"" OR ""Vma1"")",69
443,ATP6V1B1,"(""ATP6V1B1"" OR ""ATP6B1"" OR ""DRTA2"" OR ""RTA1B"" OR ""VATB"" OR ""VMA2"" OR ""VPP3"")",142
444,ATP6V1D,"(""ATP6V1D"" OR ""ATP6M"" OR ""VATD"" OR ""VMA8"")",47
445,ATP6V1G1,"(""ATP6V1G1"" OR ""ATP6G"" OR ""ATP6G1"" OR ""ATP6GL"" OR ""ATP6J"" OR ""Vma10"")",24
446,ATP7B,"(""ATP7B"" OR ""PWD"" OR ""WC1"" OR ""WD"" OR ""WND"")",10079
447,ATP8,"(""ATP8"" OR ""MT-ATP8"" OR ""ATPase8"" OR ""MTATP8"")",147
448,ATP8A2,"(""ATP8A2"" OR ""ATP"" OR ""ATPIB"" OR ""CAMRQ4"" OR ""IB"" OR ""ML-1"")",146344
449,ATP8B1,"(""ATP8B1"" OR ""ATPIC"" OR ""BRIC"" OR ""FIC1"" OR ""ICP1"" OR ""PFIC"" OR ""PFIC1"")",2149
450,ATP8B4,"(""ATP8B4"" OR ""ATPIM"")",17
451,ATPAF2,"(""ATPAF2"" OR ""ATP12"" OR ""ATP12p"" OR ""LP3663"" OR ""MC5DN1"")",20
452,ATRN,"(""ATRN"" OR ""DPPT-L"" OR ""MGCA"")",160
453,ATRNL1,"(""ATRNL1"" OR ""ALP"" OR ""bA338L11.1"" OR ""bA454H24.1"")",14385
454,ATRX,"(""ATRX"" OR ""JMS"" OR ""MRX52"" OR ""RAD54"" OR ""RAD54L"" OR ""XH2"" OR ""XNP"" OR ""ZNF-HX"")",2916
455,ATXN1,"(""ATXN1"" OR ""ATX1"" OR ""D6S504E"" OR ""SCA1"")",1721
456,ATXN3,"(""ATXN3"" OR ""AT3"" OR ""ATX3"" OR ""JOS"" OR ""MJD"" OR ""MJD1"" OR ""SCA3"")",5548
