PYCR3	NUDCD1	C8orf76	GDF6	FGFBP3	SHARPIN	POP1	GFUS	SYBU	TRHR
SETD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TSEN54	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LYG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC22A10	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNK12	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPS33B	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAS2R60	NA	NA	NA	NA	NA	NA	NA	NA	NA
P4HB	NA	NA	NA	NA	NA	NA	NA	NA	NA
XPOT	NA	NA	NA	NA	NA	NA	NA	NA	NA
LPAR5	NA	NA	NA	NA	NA	NA	NA	NA	NA
INTS5	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC5A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RLIM	NA	NA	NA	NA	NA	NA	NA	NA	NA
C6orf58	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL20RB	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOG	NA	NA	NA	NA	NA	NA	NA	NA	NA
RIOX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF123	NA	NA	NA	NA	NA	NA	NA	NA	NA
XKR4	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR6C76	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGKA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S1PR5	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLRX5	NA	NA	NA	NA	NA	NA	NA	NA	NA
HOXD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CABCOCO1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RXFP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR132	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM10	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOC4L	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFMID	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLX1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAXBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC25A18	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LIN9	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR6C70	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLRN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ST6GALNAC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SOCS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
COPB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIRT7	NA	NA	NA	NA	NA	NA	NA	NA	NA
GALNT17	NA	NA	NA	NA	NA	NA	NA	NA	NA
GALR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPNE8	NA	NA	NA	NA	NA	NA	NA	NA	NA
CALHM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
H1-5	NA	NA	NA	NA	NA	NA	NA	NA	NA
OGFOD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NT5DC4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SOCS3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTRHD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEPR	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX59	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZDHHC23	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSMCE3	NA	NA	NA	NA	NA	NA	NA	NA	NA
COA5	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUFA12	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUFB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RGPD6	NA	NA	NA	NA	NA	NA	NA	NA	NA
OLIG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEX26	NA	NA	NA	NA	NA	NA	NA	NA	NA
MXI1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCAN	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBALD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBLN7	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF704	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEX19	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR173	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM186	NA	NA	NA	NA	NA	NA	NA	NA	NA
KLHL22	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAPSTR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RIPPLY3	NA	NA	NA	NA	NA	NA	NA	NA	NA
HOXB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
EEF1G	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE4B	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLIT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PMCH	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALDH1A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
COL7A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BEST3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH3BGR	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTOP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFSD10	NA	NA	NA	NA	NA	NA	NA	NA	NA
RIPOR3	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRC8B	NA	NA	NA	NA	NA	NA	NA	NA	NA
UNC5A	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZKSCAN8	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLCNKA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YIPF7	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTGDR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM166C	NA	NA	NA	NA	NA	NA	NA	NA	NA
FLRT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FREM3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PARPBP	NA	NA	NA	NA	NA	NA	NA	NA	NA
IZUMO1R	NA	NA	NA	NA	NA	NA	NA	NA	NA
BACE2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTRT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
C14orf180	NA	NA	NA	NA	NA	NA	NA	NA	NA
GH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBA7	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAAP100	NA	NA	NA	NA	NA	NA	NA	NA	NA
SULT1C3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUBA8	NA	NA	NA	NA	NA	NA	NA	NA	NA
SKA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCND2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
EYA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADI1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SHMT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM179B	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC2R	NA	NA	NA	NA	NA	NA	NA	NA	NA
FIGN	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPS6KA4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC5	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRMT11	NA	NA	NA	NA	NA	NA	NA	NA	NA
COQ6	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBL4B	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAS2R42	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNAL	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM212	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR10T2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP27C1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RGS9BP	NA	NA	NA	NA	NA	NA	NA	NA	NA
KDM4D	NA	NA	NA	NA	NA	NA	NA	NA	NA
CACNA1H	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP4Z1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGT2B28	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTL7A	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYNE3	NA	NA	NA	NA	NA	NA	NA	NA	NA
EML1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KPNA4	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2CD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR4C12	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR10J5	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5D14	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZMIZ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPIL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDZD8	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNK18	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM46	NA	NA	NA	NA	NA	NA	NA	NA	NA
USP16	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM104	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPRB	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5D18	NA	NA	NA	NA	NA	NA	NA	NA	NA
VSTM2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
NIBAN3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF486	NA	NA	NA	NA	NA	NA	NA	NA	NA
HPDL	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM17	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSP90AA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR142	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBX10	NA	NA	NA	NA	NA	NA	NA	NA	NA
STARD10	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMLHE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SF3B1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGEF25	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSTA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPDYA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTC7B	NA	NA	NA	NA	NA	NA	NA	NA	NA
NR1I2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDR2L	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADORA2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
STRADA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP1S1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GALNT16	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYNM	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUBA1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
CENPA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC39A9	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC44A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHAT	NA	NA	NA	NA	NA	NA	NA	NA	NA
EDN3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SERPINA9	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRPF4B	NA	NA	NA	NA	NA	NA	NA	NA	NA
CENPQ	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC22A8	NA	NA	NA	NA	NA	NA	NA	NA	NA
SINHCAF	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBXO40	NA	NA	NA	NA	NA	NA	NA	NA	NA
ISYNA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPAG17	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEXD	NA	NA	NA	NA	NA	NA	NA	NA	NA
OVOL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPP7	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP3A4	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTR7	NA	NA	NA	NA	NA	NA	NA	NA	NA
GDPD5	NA	NA	NA	NA	NA	NA	NA	NA	NA
STARD7	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZBTB16	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM217	NA	NA	NA	NA	NA	NA	NA	NA	NA
PUM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GZF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAQR6	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUDT4	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MGAT4B	NA	NA	NA	NA	NA	NA	NA	NA	NA
STX3	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC88A	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZBTB49	NA	NA	NA	NA	NA	NA	NA	NA	NA
BAG5	NA	NA	NA	NA	NA	NA	NA	NA	NA
RASGRP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRC8D	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF385A	NA	NA	NA	NA	NA	NA	NA	NA	NA
GGT7	NA	NA	NA	NA	NA	NA	NA	NA	NA
EEF1A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANAPC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPPA3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NIPAL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCTD21	NA	NA	NA	NA	NA	NA	NA	NA	NA
RGS12	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZFAND4	NA	NA	NA	NA	NA	NA	NA	NA	NA
THUMPD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
RHD	NA	NA	NA	NA	NA	NA	NA	NA	NA
POFUT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIK3AP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPYSL4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLCN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LBR	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKLR	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRCC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF383	NA	NA	NA	NA	NA	NA	NA	NA	NA
SERINC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
DLK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NYX	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAT5	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC20A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GANAB	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM24	NA	NA	NA	NA	NA	NA	NA	NA	NA
RASSF6	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUSP29	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM248	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAOA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GYG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP65	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRPC6	NA	NA	NA	NA	NA	NA	NA	NA	NA
NTN4	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGT2B15	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIGLEC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CERKL	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF772	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB5IF	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF695	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSPT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF13	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM230	NA	NA	NA	NA	NA	NA	NA	NA	NA
P4HTM	NA	NA	NA	NA	NA	NA	NA	NA	NA
B4GALNT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAQR9	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUSP15	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTNBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADIPOR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HNRNPA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUMF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP13A5	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP53BP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXD4L3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CS	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIMC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICAM4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CREB3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM221	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA9	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TM7SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA
BORCS7	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP9A	NA	NA	NA	NA	NA	NA	NA	NA	NA
PYCR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP97	NA	NA	NA	NA	NA	NA	NA	NA	NA
HRH3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP36	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPM1G	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SERPINA6	NA	NA	NA	NA	NA	NA	NA	NA	NA
POLR2K	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADCY2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SP100	NA	NA	NA	NA	NA	NA	NA	NA	NA
GOLGA8B	NA	NA	NA	NA	NA	NA	NA	NA	NA
JAK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM198	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR1J4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZFP30	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAPGEF5	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP4K4	NA	NA	NA	NA	NA	NA	NA	NA	NA
BTBD8	NA	NA	NA	NA	NA	NA	NA	NA	NA
KPNA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAGEH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATR	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGT1A10	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPSF4L	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRM8	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP53INP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRC17	NA	NA	NA	NA	NA	NA	NA	NA	NA
FCF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LIN28B	NA	NA	NA	NA	NA	NA	NA	NA	NA
NR4A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF133	NA	NA	NA	NA	NA	NA	NA	NA	NA
BTG3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TOX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
INSIG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFAP100	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNK7	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAVCR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBXL14	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPY19L3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLEKHG7	NA	NA	NA	NA	NA	NA	NA	NA	NA
DALRD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PALM3	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNQ5	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOD	NA	NA	NA	NA	NA	NA	NA	NA	NA
OLFM3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDRG3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF69	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM215	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLSCR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC35F6	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR7D2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GATA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NKAPL	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTMR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PFKM	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEAD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
FZD9	NA	NA	NA	NA	NA	NA	NA	NA	NA
TSPOAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LYAR	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGLYRP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRFN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLCH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TDRD6	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLEKHB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKAA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BPIFA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NRDE2	NA	NA	NA	NA	NA	NA	NA	NA	NA
COPS8	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRIQ3	NA	NA	NA	NA	NA	NA	NA	NA	NA
VPS72	NA	NA	NA	NA	NA	NA	NA	NA	NA
H2AB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCN8A	NA	NA	NA	NA	NA	NA	NA	NA	NA
FILIP1L	NA	NA	NA	NA	NA	NA	NA	NA	NA
TYW5	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERO1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
HKDC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPS6KL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FYN	NA	NA	NA	NA	NA	NA	NA	NA	NA
ELOVL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGT1A9	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALDH9A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WLS	NA	NA	NA	NA	NA	NA	NA	NA	NA
GABPA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NRDC	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM205	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC25A26	NA	NA	NA	NA	NA	NA	NA	NA	NA
WAC	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5K4	NA	NA	NA	NA	NA	NA	NA	NA	NA
NET1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRGAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLM	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITSN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
C6orf89	NA	NA	NA	NA	NA	NA	NA	NA	NA
KEL	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR5H2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANO1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MORN3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SHTN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF220	NA	NA	NA	NA	NA	NA	NA	NA	NA
GFRA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
VANGL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DHCR7	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPRA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTR3A	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB11FIP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFXN4	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCNX3	NA	NA	NA	NA	NA	NA	NA	NA	NA
RET	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAS	NA	NA	NA	NA	NA	NA	NA	NA	NA
MXRA7	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1D	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR160	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELID3B	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF44	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANO2	NA	NA	NA	NA	NA	NA	NA	NA	NA
UVRAG	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACMSD	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUN5	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTF3C1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CENPL	NA	NA	NA	NA	NA	NA	NA	NA	NA
PUS7	NA	NA	NA	NA	NA	NA	NA	NA	NA
ORAI2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPRED2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ODAD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACOX3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGEF26	NA	NA	NA	NA	NA	NA	NA	NA	NA
EML6	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR45	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIGR	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADACL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAM33	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTGER3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARC	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNNM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HNRNPH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIK3R4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC88B	NA	NA	NA	NA	NA	NA	NA	NA	NA
EDRF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBC1D9B	NA	NA	NA	NA	NA	NA	NA	NA	NA
CACNA2D1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCD4	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF708	NA	NA	NA	NA	NA	NA	NA	NA	NA
H2BC12	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAM15	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCRIB	NA	NA	NA	NA	NA	NA	NA	NA	NA
