,NCT_ID,Phase,Status,Disease Name,Drug Name,Mechanism of Action,Action Type,Target Approved Name,Target Approved Symbol,Drug Type,Breif Summary,Impact On Cacner Progression,Cancer Type
473,NCT05673200,1,Recruiting,triple-negative breast cancer,CEDAZURIDINE,Cytidine deaminase inhibitor,INHIBITOR,cytidine deaminase,CDA,Small molecule,"This phase I trial tests the safety, side effects, and best dose of ASTX727 when given in combination with a usual approach of treatment with paclitaxel and pembrolizumab in patients with triple-negative breast cancer that has spread from where it first started (primary site) to other places in the body (metastatic). The usual approach is defined as care most people get for this type of cancer. The usual approach for patients with metastatic triple negative breast cancer who are not in a study is chemotherapy with drugs like paclitaxel, carboplatin, cisplatin, eribulin, vinorelbine, capecitabine, gemcitabine, doxorubicin or cyclophosphamide. There is a protein called PD-L1 that helps regulate the body's immune system. For patients who have PD-L1+ tumors, immunotherapy (pembrolizumab) is usually added to paclitaxel or carboplatin/gemcitabine as initial treatment. For patients who have PD-L1-negative tumors, chemotherapy alone is used, without immunotherapy. ASTX727 is a combination of two drugs, decitabine and cedazuridine. Cedazuridine is in a class of medications called cytidine deaminase inhibitors. It prevents the breakdown of decitabine, making it more available in the body so that decitabine will have a greater effect. Decitabine is in a class of medications called hypomethylation agents. It works by helping the bone marrow produce normal blood cells and by killing abnormal cells in the bone marrow. Paclitaxel is in a class of medications called antimicrotubule agents. It stops tumor cells from growing and dividing and may kill them. Immunotherapy with monoclonal antibodies, such as pembrolizumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Giving ASTX727 with usual treatment approach with paclitaxel and pembrolizumab may be able to shrink or stabilize the tumor for longer than the usual approach alone in patients with metastatic triple negative breast cancer.",yes,TNBC
335,NCT03355157,4,Recruiting,breast cancer,PALBOCICLIB,Cyclin-dependent kinase 4/cyclin D1 inhibitor,INHIBITOR,cyclin dependent kinase 4,CDK4,Small molecule,"The goal of the study for patients with metastatic breast cancer (MBC) is to show that palbociclib + endocrine therapy shows a significant improvement in time-to-treatment failure over chemotherapy regimen (mono-chemotherapy with or without endocrine therapy). This would provide level 1 evidence from real world that palbociclib plus endocrine therapy is the first choice in MBC patients needing first-line therapy not only compared to endocrine therapy but also compared to chemotherapy with or without endocrine maintenance therapy.

In addition, we assume that patient-reported outcome as measured by FACT-B and a novel composite endpoint of well-being and healthcare utilization (DMTI) will be improved with palbociclib + endocrine treatment vs. chemotherapy regimen.",yes,NA
431,NCT04799249,3,"Active, not recruiting",triple-negative breast cancer,TRILACICLIB,Cyclin-dependent kinase 4 inhibitor,INHIBITOR,cyclin dependent kinase 4,CDK4,Small molecule,"This is a Phase 3, multicenter, randomized, double-blind, placebo-controlled study evaluating the safety and efficacy of trilaciclib versus placebo administered prior to gemcitabine and carboplatin in patients receiving first- or second-line treatment for locally advanced unresectable/metastatic TNBC.",yes,TNBC
189,NCT01624441,1,Completed,male breast carcinoma,DINACICLIB,Cyclin-dependent kinase 5 inhibitor,INHIBITOR,cyclin dependent kinase 5,CDK5,Small molecule,This phase I clinical trial studies the side effects and the best dose of dinaciclib when given together with epirubicin hydrochloride (epirubicin) in patients with metastatic (cancer that has spread to other parts of the body) triple-negative breast cancer. Dinaciclib is designed to stop cancer cells from dividing into new cancer cells. Epirubicin is designed to block the way cancer cells grow and divide and may slow or stop cancer cells from spreading throughout the body. Researchers want to find out what is the highest tolerable dose of the experimental drug dinaciclib that can be given in combination with epirubicin in patients with metastatic triple negative breast cancer.,yes,TNBC
1,NCT00001444,1,Completed,breast cancer,UCN-01,Cyclin-dependent kinase 6 inhibitor,INHIBITOR,cyclin dependent kinase 6,CDK6,Small molecule,"This is a dosage escalation study to estimate the maximum tolerated dose of staurosporine analogue UCN-01. Groups of 3 to 6 patients receive a 72-hours intravenous continuous infusions of UCN-01 from day 1 to day 4 of each cycle the first cycle only, and over 36-hours on subsequent cycles. The side effects are allowed to disappear for up to 28 days. This cycle is repeated after evaluations and follow-ups, which are every 4 weeks, as long as the patient benefits.",yes,NA
455,NCT05161195,4,Recruiting,breast cancer,RIBOCICLIB,Cyclin-dependent kinase 6 inhibitor,INHIBITOR,cyclin dependent kinase 6,CDK6,Small molecule,"This is an open-label, multi-center, roll-over study to evaluate the long term safety of ribociclib in combination with other drugs in participants who are participating in a Novartis sponsored global study, that has fulfilled requirements for its primary objective(s), and who in the opinion of the Investigator, would benefit from continued treatment.",yes,NA
463,NCT05362760,4,Recruiting,breast cancer,ABEMACICLIB,Cyclin-dependent kinase 6 inhibitor,INHIBITOR,cyclin dependent kinase 6,CDK6,Small molecule,"The MINERVA Trial aims to evaluate safety, efficacy and quality of life (QoL) for the combination of Abemaciclib with an Aromatase Inhibitor or Fulvestrant in pre- and postmenopausal patients with metastatic hormone receptor positive HER2 negative breast cancer in the first line setting.

Side effect monitoring and patient reported outcomes will be captured using the web- and app-based CANKADO digital health application. Via this user-friendly tool the patients can document their therapy side effects (e.g. diarrhea) and outcomes on a day-to-day basis. The capturing of side effects using the digital health application will be done additionally to the regular AE documentation.

Furthermore, translational research objectives of this trial include the investigation of biomarkers (ct-DNA, germline DNA) to evaluate whether they can give insights into the reasons for response, intrinsic or acquired resistance to the combined endocrine",yes,HR+/Her2-
26,NCT00020332,1,Completed,breast cancer,ALVOCIDIB,Cyclin-dependent kinase 9 inhibitor,INHIBITOR,cyclin dependent kinase 9,CDK9,Small molecule,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase I/II trial to study the effectiveness of combination chemotherapy in treating patients who have locally advanced or metastatic breast cancer.",yes,NA
277,NCT02839668,2,Completed,breast cancer,ATROPINE,Muscarinic acetylcholine receptor M2 antagonist,ANTAGONIST,cholinergic receptor muscarinic 2,CHRM2,Small molecule,"Because neoplastic disease is one of the leading causes of death worldwide and breast cancer is one of the most frequent neoplasia among women, the possibility of influencing the evolution of patients starting from the moment of surgical intervention using a perianesthesic intervention is a scientific topic of high interest. The study will compare two anesthetic techniques and their efficiency in lowering the factors that can favorize the dissemination of neoplasia and their role in the prevention of postoperative pain. The serum level of vascular endothelial growth factor A (VEGF-A) will be determined before and after the surgical intervention after using two different types of anesthesia (inhalational and intravenous), and the immunohistochemical expression of vascular endothelial growth factor receptors (VEGFR) will be determined on the excised tissue. For the two different types of anesthesia a continuous infusion of lidocaine 1% will be associated. The study will compare the short-term and long term-outcome of the patients assigned the two different types of anesthesia and their immediate postoperative evolution .",no,NA
313,NCT03094052,2,Completed,breast adenocarcinoma,ATROPINE SULFATE,Muscarinic acetylcholine receptor M2 antagonist,ANTAGONIST,cholinergic receptor muscarinic 2,CHRM2,Small molecule,"This phase II trial studies the incidence and severity of diarrhea in patients with stage II-IIIC HER2 Positive breast cancer treated with trastuzumab and neratinib. Trastuzumab is a form of targeted therapy because it attaches itself to specific molecules (receptors) on the surface of cancer cells, known as HER2 receptors. When trastuzumab attaches to HER2 receptors, the signals that tell the cells to grow are blocked and the cancer cell may be marked for destruction by the body's immune system. Neratinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving trastuzumab and neratinib may work better in treating patients with stage II-IIIC HER2 positive breast cancer.",no,NA
331,NCT03346161,1,Completed,breast cancer,NICOTINE,Neuronal acetylcholine receptor; alpha4/beta2 agonist,AGONIST,cholinergic receptor nicotinic alpha 4 subunit,CHRNA4,Small molecule,"Although clinical decision tools (CDTs) exist for a variety of treatments, CDTs designed to support personalized breast reconstruction decisions, particularly about type and timing of reconstruction, are lacking. The objective of this proposal is to develop and pilot test a clinical decision tool that provides personalized risk information and reflects patients' preferences and clinical needs.",no,NA
