external_gene_name,description,search_id,MeSH_count,andGene_count,description_count,best_score
CALR,calreticulin ,CALR,501,,,501
ATP6V1E2,ATPase H+ transporting V1 subunit E2 ,ATP6V1E2,0,,,0
EEF1G,eukaryotic translation elongation factor 1 gamma ,EEF1G,14,,,14
DCN,decorin ,DCN,178,,,178
MCM2,minichromosome maintenance complex component 2 ,MCM2,434,,,434
ICAM1,intercellular adhesion molecule 1 ,ICAM1,2237,,,2237
CCL2,C-C motif chemokine ligand 2 ,CCL2,1346,,,1346
KRT18,keratin 18 ,KRT18,66,,,66
ATP6V0E1,ATPase H+ transporting V0 subunit e1 ,ATP6V0E1,2,,,2
TJP2,tight junction protein 2 ,TJP2,15,,,15
GNG11,G protein subunit gamma 11 ,GNG11,22,,,22
RPS4Y1,ribosomal protein S4 Y-linked 1 ,RPS4Y1,5,,,5
LAMTOR5,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5 ",LAMTOR5,13,,,13
NGF,nerve growth factor ,NGF,997,,,997
RC3H1,ring finger and CCCH-type domains 1 ,RC3H1,4,,,4
KNL1,kinetochore scaffold 1 ,KNL1,18,,,18
FANCI,FA complementation group I ,FANCI,80,,,80
CXCL1,C-X-C motif chemokine ligand 1 ,CXCL1,699,,,699
BUB1,BUB1 mitotic checkpoint serine/threonine kinase ,BUB1,302,,,302
GNG5,G protein subunit gamma 5 ,GNG5,13,,,13
SMURF1,SMAD specific E3 ubiquitin protein ligase 1 ,SMURF1,98,,,98
FANCG,FA complementation group G ,FANCG,70,,,70
CDC27,cell division cycle 27 ,CDC27,56,,,56
RCOR1,REST corepressor 1 ,RCOR1,13,,,13
FGF1,fibroblast growth factor 1 ,FGF1,313,,,313
GNA13,G protein subunit alpha 13 ,GNA13,72,,,72
NCOA3,nuclear receptor coactivator 3 ,NCOA3,101,,,101
BMP2,bone morphogenetic protein 2 ,BMP2,552,,,552
GNG13,G protein subunit gamma 13 ,GNG13,3,,,3
ATP5MC2,ATP synthase membrane subunit c locus 2 ,ATP5MC2,0,,,0
CXCL9,C-X-C motif chemokine ligand 9 ,CXCL9,560,,,560
PRKACB,protein kinase cAMP-activated catalytic subunit beta ,PRKACB,60,,,60
SH3KBP1,SH3 domain containing kinase binding protein 1 ,SH3KBP1,5,,,5
FGF17,fibroblast growth factor 17 ,FGF17,16,,,16
CTBP1,C-terminal binding protein 1 ,CTBP1,127,,,127
GNG3,G protein subunit gamma 3 ,GNG3,4,,,4
GNGT2,G protein subunit gamma transducin 2 ,GNGT2,5,,,5
GNG8,G protein subunit gamma 8 ,GNG8,4,,,4
GNG12,G protein subunit gamma 12 ,GNG12,15,,,15
GNG7,G protein subunit gamma 7 ,GNG7,25,,,25
CCR4,C-C motif chemokine receptor 4 ,CCR4,589,,,589
IGKV2D-28,immunoglobulin kappa variable 2D-28 ,IGKV2D-28,0,,,0
GNG10,G protein subunit gamma 10 ,GNG10,4,,,4
RPS4Y2,ribosomal protein S4 Y-linked 2 ,RPS4Y2,0,,,0
CD4,CD4 molecule ,CD4,21095,,,21095
LCP2,lymphocyte cytosolic protein 2 ,LCP2,21,,,21
NEDD4L,NEDD4 like E3 ubiquitin protein ligase ,NEDD4L,74,,,74
XRCC5,X-ray repair cross complementing 5 ,XRCC5,101,,,101
SNW1,SNW domain containing 1 ,SNW1,12,,,12
CENPI,centromere protein I ,CENPI,12,,,12
CCNE1,cyclin E1 ,CCNE1,544,,,544
PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 ",PLOD3,35,,,35
COL7A1,collagen type VII alpha 1 chain ,COL7A1,44,,,44
VASP,vasodilator stimulated phosphoprotein ,VASP,128,,,128
RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1 ,RBCK1,27,,,27
KIF23,kinesin family member 23 ,KIF23,84,,,84
NTRK2,neurotrophic receptor tyrosine kinase 2 ,NTRK2,236,,,236
DOCK1,dedicator of cytokinesis 1 ,DOCK1,32,,,32
ATP5F1C,ATP synthase F1 subunit gamma ,ATP5F1C,2,,,2
CDH2,cadherin 2 ,CDH2,240,,,240
XCR1,X-C motif chemokine receptor 1 ,XCR1,46,,,46
LAMTOR4,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 4 ",LAMTOR4,6,,,6
CD247,CD247 molecule ,CD247,38,,,38
H2AC4,H2A clustered histone 4 ,H2AC4,1,,,1
ERBB3,erb-b2 receptor tyrosine kinase 3 ,ERBB3,1201,,,1201
ELAVL1,ELAV like RNA binding protein 1 ,ELAVL1,125,,,125
FGF10,fibroblast growth factor 10 ,FGF10,84,,,84
SLC9A1,solute carrier family 9 member A1 ,SLC9A1,22,,,22
ATP5F1D,ATP synthase F1 subunit delta ,ATP5F1D,3,,,3
SNU13,small nuclear ribonucleoprotein 13 ,SNU13,1,,,1
CENPT,centromere protein T ,CENPT,3,,,3
BMPR1A,bone morphogenetic protein receptor type 1A ,BMPR1A,195,,,195
ACVR2B,activin A receptor type 2B ,ACVR2B,33,,,33
LRP1,LDL receptor related protein 1 ,LRP1,200,,,200
HJURP,Holliday junction recognition protein ,HJURP,67,,,67
VHL,von Hippel-Lindau tumor suppressor ,VHL,3386,,,3386
G3BP1,G3BP stress granule assembly factor 1 ,G3BP1,94,,,94
GNA12,G protein subunit alpha 12 ,GNA12,20,,,20
CENPU,centromere protein U ,CENPU,19,,,19
MRPS11,mitochondrial ribosomal protein S11 ,MRPS11,4,,,4
RXRA,retinoid X receptor alpha ,RXRA,83,,,83
FCGR3A,Fc gamma receptor IIIa ,FCGR3A,106,,,106
HLA-E,"major histocompatibility complex, class I, E ",HLA-E,268,,,268
RNASEK,ribonuclease K ,RNASEK,3,,,3
VIM,vimentin ,VIM,789,20,14565,14565
FGF4,fibroblast growth factor 4 ,FGF4,171,,,171
DYNLL1,dynein light chain LC8-type 1 ,DYNLL1,16,,,16
FOXM1,forkhead box M1 ,FOXM1,1344,,,1344
COPS5,COP9 signalosome subunit 5 ,COPS5,30,,,30
AFDN,"afadin, adherens junction formation factor ",AFDN,17,,,17
CDCA8,cell division cycle associated 8 ,CDCA8,93,,,93
IL6,interleukin 6 ,IL6,14223,,,14223
EIF4A3,eukaryotic translation initiation factor 4A3 ,EIF4A3,116,,,116
EIF2A,eukaryotic translation initiation factor 2A ,EIF2A,46,,,46
SERPINH1,serpin family H member 1 ,SERPINH1,57,,,57
NCAM1,neural cell adhesion molecule 1 ,NCAM1,91,,,91
CENPH,centromere protein H ,CENPH,24,,,24
CASP3,caspase 3 ,CASP3,529,,,529
ATP6AP2,ATPase H+ transporting accessory protein 2 ,ATP6AP2,19,,,19
CAV3,caveolin 3 ,CAV3,60,,,60
ATP6V0A2,ATPase H+ transporting V0 subunit a2 ,ATP6V0A2,4,,,4
FANCM,FA complementation group M ,FANCM,86,,,86
SERPINA1,serpin family A member 1 ,SERPINA1,99,,,99
DVL2,dishevelled segment polarity protein 2 ,DVL2,131,,,131
CCL26,C-C motif chemokine ligand 26 ,CCL26,40,,,40
KMT2C,lysine methyltransferase 2C ,KMT2C,287,,,287
ITIH4,inter-alpha-trypsin inhibitor heavy chain 4 ,ITIH4,40,,,40
DHX29,DExH-box helicase 29 ,DHX29,5,,,5
KIF2A,kinesin family member 2A ,KIF2A,42,,,42
CRKL,"CRK like proto-oncogene, adaptor protein ",CRKL,260,,,260
FGF8,fibroblast growth factor 8 ,FGF8,94,,,94
CUL2,cullin 2 ,CUL2,57,,,57
CSF3,colony stimulating factor 3 ,CSF3,49,,,49
KPNB1,karyopherin subunit beta 1 ,KPNB1,34,,,34
PDGFRB,platelet derived growth factor receptor beta ,PDGFRB,516,,,516
UBE3A,ubiquitin protein ligase E3A ,UBE3A,31,,,31
BIRC6,baculoviral IAP repeat containing 6 ,BIRC6,57,,,57
CD80,CD80 molecule ,CD80,1302,,,1302
ACVR2A,activin A receptor type 2A ,ACVR2A,50,,,50
FGF5,fibroblast growth factor 5 ,FGF5,56,,,56
KIF2C,kinesin family member 2C ,KIF2C,98,,,98
EML4,EMAP like 4 ,EML4,1006,,,1006
DYNC1LI1,dynein cytoplasmic 1 light intermediate chain 1 ,DYNC1LI1,7,,,7
KDM6A,lysine demethylase 6A ,KDM6A,265,,,265
PPBP,pro-platelet basic protein ,PPBP,30,,,30
TUBA1A,tubulin alpha 1a ,TUBA1A,12,,,12
ATR,ATR serine/threonine kinase ,ATR,1742,,,1742
SHARPIN,SHANK associated RH domain interactor ,SHARPIN,35,,,35
F2,"coagulation factor II, thrombin ",coagulation factor II,11,,,11
CLDN7,claudin 7 ,CLDN7,64,,,64
COL18A1,collagen type XVIII alpha 1 chain ,COL18A1,41,,,41
FAAP100,FA core complex associated protein 100 ,FAAP100,2,,,2
IRS2,insulin receptor substrate 2 ,IRS2,256,,,256
FGF3,fibroblast growth factor 3 ,FGF3,145,,,145
TUBB,tubulin beta class I ,TUBB,59,,,59
WWP2,WW domain containing E3 ubiquitin protein ligase 2 ,WWP2,34,,,34
CENPW,centromere protein W ,CENPW,7,,,7
CFH,complement factor H ,CFH,73,,,73
CUL3,cullin 3 ,CUL3,164,,,164
GNAI3,G protein subunit alpha i3 ,GNAI3,9,,,9
FGF22,fibroblast growth factor 22 ,FGF22,10,,,10
ENO1,enolase 1 ,ENO1,284,,,284
DYNC1I2,dynein cytoplasmic 1 intermediate chain 2 ,DYNC1I2,2,,,2
FGF20,fibroblast growth factor 20 ,FGF20,21,,,21
WDR76,WD repeat domain 76 ,WDR76,9,,,9
FGF9,fibroblast growth factor 9 ,FGF9,114,,,114
JAK3,Janus kinase 3 ,JAK3,502,,,502
STX1A,syntaxin 1A ,STX1A,6,,,6
PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha ,PRKAR1A,367,,,367
PF4V1,platelet factor 4 variant 1 ,PF4V1,4,,,4
FGF6,fibroblast growth factor 6 ,FGF6,39,,,39
ATP5PB,ATP synthase peripheral stalk-membrane subunit b ,ATP5PB,1,,,1
APC,APC regulator of WNT signaling pathway ,APC,9133,,,9133
FGF7,fibroblast growth factor 7 ,FGF7,146,,,146
ATP6V1G3,ATPase H+ transporting V1 subunit G3 ,ATP6V1G3,4,,,4
CCL28,C-C motif chemokine ligand 28 ,CCL28,66,,,66
CXCL13,C-X-C motif chemokine ligand 13 ,CXCL13,582,,,582
CXCL5,C-X-C motif chemokine ligand 5 ,CXCL5,322,,,322
KRT8,keratin 8 ,KRT8,91,,,91
HMGB1,high mobility group box 1 ,HMGB1,1293,,,1293
TLR9,toll like receptor 9 ,TLR9,665,,,665
IGKV2D-40,immunoglobulin kappa variable 2D-40 ,IGKV2D-40,2,,,2
NDC80,NDC80 kinetochore complex component ,NDC80,103,,,103
MYL6,myosin light chain 6 ,MYL6,9,,,9
NRP1,neuropilin 1 ,NRP1,546,,,546
PDGFB,platelet derived growth factor subunit B ,PDGFB,598,,,598
HCK,"HCK proto-oncogene, Src family tyrosine kinase ",HCK,173,,,173
WASL,WASP like actin nucleation promoting factor ,WASL,15,,,15
GAPDH,glyceraldehyde-3-phosphate dehydrogenase ,GAPDH,1115,,,1115
KIF20A,kinesin family member 20A ,KIF20A,143,,,143
FANCL,FA complementation group L ,FANCL,50,,,50
FOXA1,forkhead box A1 ,FOXA1,788,,,788
YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta ,YWHAQ,12,,,12
LMO7,LIM domain 7 ,LMO7,25,,,25
BMPR1B,bone morphogenetic protein receptor type 1B ,BMPR1B,54,,,54
SCARB2,scavenger receptor class B member 2 ,SCARB2,9,,,9
ANK3,ankyrin 3 ,ANK3,20,,,20
CLDN1,claudin 1 ,CLDN1,185,,,185
CTLA4,cytotoxic T-lymphocyte associated protein 4 ,CTLA4,4768,,,4768
CENPN,centromere protein N ,CENPN,19,,,19
KRT1,keratin 1 ,KRT1,29,,,29
MLST8,"MTOR associated protein, LST8 homolog ",MLST8,34,,,34
RBPJ,recombination signal binding protein for immunoglobulin kappa J region ,RBPJ,118,,,118
FGB,fibrinogen beta chain ,FGB,30,,,30
BSG,basigin (Ok blood group) ,BSG,184,,,184
UBE2C,ubiquitin conjugating enzyme E2 C ,UBE2C,256,,,256
F8,coagulation factor VIII ,coagulation factor VIII ,49,,,49
MUC1,"mucin 1, cell surface associated ",MUC1,3083,,,3083
CENPP,centromere protein P ,CENPP,1,,,1
MYH6,myosin heavy chain 6 ,MYH6,14,,,14
IGLL5,immunoglobulin lambda like polypeptide 5 ,IGLL5,35,,,35
IGHV3OR16-17,immunoglobulin heavy variable 3/OR16-17 (non-functional) ,IGHV3OR16-17,0,,,0
CX3CL1,C-X3-C motif chemokine ligand 1 ,CX3CL1,224,,,224
JARID2,jumonji and AT-rich interaction domain containing 2 ,JARID2,48,,,48
CENPQ,centromere protein Q ,CENPQ,3,,,3
TAB2,TGF-beta activated kinase 1 (MAP3K7) binding protein 2 ,TAB2,43,,,43
RNF4,ring finger protein 4 ,RNF4,36,,,36
NGFR,nerve growth factor receptor ,NGFR,238,,,238
HNRNPC,heterogeneous nuclear ribonucleoprotein C ,HNRNPC,127,,,127
CENPM,centromere protein M ,CENPM,28,,,28
RBL2,RB transcriptional corepressor like 2 ,RBL2,73,,,73
ATP6V0A4,ATPase H+ transporting V0 subunit a4 ,ATP6V0A4,6,,,6
KNG1,kininogen 1 ,KNG1,30,,,30
CENPL,centromere protein L ,CENPL,8,,,8
PLAU,"plasminogen activator, urokinase ",PLAU,223,,,223
CENPK,centromere protein K ,CENPK,20,,,20
COL10A1,collagen type X alpha 1 chain ,COL10A1,70,,,70
STAU1,staufen double-stranded RNA binding protein 1 ,STAU1,27,,,27
CENPO,centromere protein O ,CENPO,8,,,8
LEF1,lymphoid enhancer binding factor 1 ,LEF1,637,,,637
COL8A1,collagen type VIII alpha 1 chain ,COL8A1,31,,,31
PELO,pelota mRNA surveillance and ribosome rescue factor ,PELO,14,,,14
MBL2,mannose binding lectin 2 ,MBL2,66,,,66
YWHAG,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma ,YWHAG,25,,,25
CEBPB,CCAAT enhancer binding protein beta ,CEBPB,142,,,142
ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 ,ATP2A2,24,,,24
LEP,leptin ,LEP,281,,,281
DCTN2,dynactin subunit 2 ,DCTN2,9,,,9
YES1,"YES proto-oncogene 1, Src family tyrosine kinase ",YES1,112,,,112
CLDN5,claudin 5 ,CLDN5,36,,,36
CD47,CD47 molecule ,CD47,996,,,996
PDGFA,platelet derived growth factor subunit A ,PDGFA,296,,,296
SPTAN1,"spectrin alpha, non-erythrocytic 1 ",SPTAN1,15,,,15
COL15A1,collagen type XV alpha 1 chain ,COL15A1,13,,,13
PABPC1,poly(A) binding protein cytoplasmic 1 ,PABPC1,89,,,89
SCARB1,scavenger receptor class B member 1 ,SCARB1,40,,,40
CXCL2,C-X-C motif chemokine ligand 2 ,CXCL2,280,,,280
GNA11,G protein subunit alpha 11 ,GNA11,336,,,336
BIRC5,baculoviral IAP repeat containing 5 ,BIRC5,633,,,633
DVL1,dishevelled segment polarity protein 1 ,DVL1,81,,,81
COL1A1,collagen type I alpha 1 chain ,COL1A1,631,,,631
P3H3,prolyl 3-hydroxylase 3 ,P3H3,4,,,4
COL9A1,collagen type IX alpha 1 chain ,COL9A1,5,,,5
RAP1A,"RAP1A, member of RAS oncogene family ",RAP1A,117,,,117
DNMT3A,DNA methyltransferase 3 alpha ,DNMT3A,1661,,,1661
TRIM25,tripartite motif containing 25 ,TRIM25,78,,,78
ATP5F1E,ATP synthase F1 subunit epsilon ,ATP5F1E,0,,,0
FAAP24,FA core complex associated protein 24 ,FAAP24,4,,,4
CD36,CD36 molecule (CD36 blood group) ,CD36,583,,,583
RDX,radixin ,RDX,22,,,22
CETN2,centrin 2 ,CETN2,7,,,7
PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 ",PLOD2,103,,,103
MAD2L1,mitotic arrest deficient 2 like 1 ,MAD2L1,152,,,152
FGG,fibrinogen gamma chain ,FGG,36,,,36
FGA,fibrinogen alpha chain ,FGA,106,,,106
TLN2,talin 2 ,TLN2,13,,,13
EIF2AK3,eukaryotic translation initiation factor 2 alpha kinase 3 ,EIF2AK3,41,,,41
FANCB,FA complementation group B ,FANCB,22,,,22
FANCF,FA complementation group F ,FANCF,71,,,71
MYL6B,myosin light chain 6B ,MYL6B,1,,,1
LDB1,LIM domain binding 1 ,LDB1,28,,,28
F5,coagulation factor V ,coagulation factor V ,28,,,28
COLGALT2,collagen beta(1-O)galactosyltransferase 2 ,COLGALT2,4,,,4
MT-ATP6,mitochondrially encoded ATP synthase membrane subunit 6 ,MT-ATP6,15,,,15
E2F4,E2F transcription factor 4 ,E2F4,265,,,265
WAS,WASP actin nucleation promoting factor ,WAS,123,27,0,123
ITCH,itchy E3 ubiquitin protein ligase ,ITCH,367,1,22,22
CTTN,cortactin ,CTTN,95,,,95
FKBP1A,FKBP prolyl isomerase 1A ,FKBP1A,23,,,23
TAB1,TGF-beta activated kinase 1 (MAP3K7) binding protein 1 ,TAB1,37,,,37
MYL9,myosin light chain 9 ,MYL9,51,,,51
PFN1,profilin 1 ,PFN1,69,,,69
SMURF2,SMAD specific E3 ubiquitin protein ligase 2 ,SMURF2,86,,,86
CD86,CD86 molecule ,CD86,1321,,,1321
POMC,proopiomelanocortin ,POMC,336,,,336
CCRL2,C-C motif chemokine receptor like 2 ,CCRL2,23,,,23
USP9X,ubiquitin specific peptidase 9 X-linked ,USP9X,143,,,143
NUP153,nucleoporin 153 ,NUP153,13,,,13
MYH11,myosin heavy chain 11 ,MYH11,472,,,472
PPM1B,"protein phosphatase, Mg2+/Mn2+ dependent 1B ",PPM1B,19,,,19
ACTR1A,actin related protein 1A ,ACTR1A,6,,,6
KIF11,kinesin family member 11 ,KIF11,142,,,142
CENPE,centromere protein E ,CENPE,93,,,93
MTA2,metastasis associated 1 family member 2 ,MTA2,79,,,79
RRAGA,Ras related GTP binding A ,RRAGA,2,,,2
PSMD4,"proteasome 26S subunit ubiquitin receptor, non-ATPase 4 ",PSMD4,23,,,23
FAAP20,FA core complex associated protein 20 ,FAAP20,3,,,3
ATP5PD,ATP synthase peripheral stalk subunit d ,ATP5PD,0,,,0
ADRB2,adrenoceptor beta 2 ,ADRB2,93,,,93
ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1 ,ARL6IP1,3,,,3
PPP1CA,protein phosphatase 1 catalytic subunit alpha ,PPP1CA,35,,,35
CCL19,C-C motif chemokine ligand 19 ,CCL19,271,,,271
MYD88,MYD88 innate immune signal transduction adaptor ,MYD88,1280,,,1280
CCL13,C-C motif chemokine ligand 13 ,CCL13,44,,,44
SLX4,SLX4 structure-specific endonuclease subunit ,SLX4,47,,,47
HLA-DRB1,"major histocompatibility complex, class II, DR beta 1 ",HLA-DRB1,534,,,534
TRIM33,tripartite motif containing 33 ,TRIM33,43,,,43
IGF1,insulin like growth factor 1 ,IGF1,3635,,,3635
RRAGD,Ras related GTP binding D ,RRAGD,6,,,6
ATP6AP1,ATPase H+ transporting accessory protein 1 ,ATP6AP1,17,,,17
COL16A1,collagen type XVI alpha 1 chain ,COL16A1,9,,,9
NCOA1,nuclear receptor coactivator 1 ,NCOA1,88,,,88
GCN1,GCN1 activator of EIF2AK4 ,GCN1,5,,,5
EFNB1,ephrin B1 ,EFNB1,23,,,23
MYH7,myosin heavy chain 7 ,MYH7,15,,,15
MMP9,matrix metallopeptidase 9 ,MMP9,9988,,,9988
TJP3,tight junction protein 3 ,TJP3,4,,,4
CARS1,cysteinyl-tRNA synthetase 1 ,CARS1,3,,,3
OPRM1,opioid receptor mu 1 ,OPRM1,67,,,67
PARK7,Parkinsonism associated deglycase ,PARK7,68,,,68
RRAGC,Ras related GTP binding C ,RRAGC,10,,,10
P3H1,prolyl 3-hydroxylase 1 ,P3H1,10,,,10
ZWINT,ZW10 interacting kinetochore protein ,ZWINT,56,,,56
ANXA1,annexin A1 ,ANXA1,317,,,317
ATP1B1,ATPase Na+/K+ transporting subunit beta 1 ,ATP1B1,39,,,39
ARF1,ADP ribosylation factor 1 ,ARF1,59,,,59
CXCL14,C-X-C motif chemokine ligand 14 ,CXCL14,162,,,162
CCNB2,cyclin B2 ,CCNB2,202,,,202
ITGA5,integrin subunit alpha 5 ,ITGA5,177,,,177
SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 ",SMARCC1,39,,,39
SLC38A9,solute carrier family 38 member 9 ,SLC38A9,2,,,2
HGS,hepatocyte growth factor-regulated tyrosine kinase substrate ,HGS,344,,,344
CLDN4,claudin 4 ,CLDN4,114,,,114
BMPR2,bone morphogenetic protein receptor type 2 ,BMPR2,79,,,79
CFI,complement factor I ,CFI,317,,,317
HLA-A,"major histocompatibility complex, class I, A ",HLA-A,2340,,,2340
INS,insulin ,INS,1165,,,1165
COL9A2,collagen type IX alpha 2 chain ,COL9A2,7,,,7
TRAF1,TNF receptor associated factor 1 ,TRAF1,148,,,148
ACTN2,actinin alpha 2 ,ACTN2,17,,,17
PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 ",PLOD1,28,,,28
RRAGB,Ras related GTP binding B ,RRAGB,6,,,6
CYLD,CYLD lysine 63 deubiquitinase ,CYLD,349,,,349
MAPRE1,microtubule associated protein RP/EB family member 1 ,MAPRE1,22,,,22
MYL12A,myosin light chain 12A ,MYL12A,6,,,6
CD40LG,CD40 ligand ,CD40LG,50,,,50
DCTN6,dynactin subunit 6 ,DCTN6,4,,,4
CDK6,cyclin dependent kinase 6 ,CDK6,1804,,,1804
HSPB1,heat shock protein family B (small) member 1 ,HSPB1,180,,,180
CCL20,C-C motif chemokine ligand 20 ,CCL20,418,,,418
ACVR1,activin A receptor type 1 ,ACVR1,91,,,91
HSPA2,heat shock protein family A (Hsp70) member 2 ,HSPA2,38,,,38
HIP1,huntingtin interacting protein 1 ,HIP1,53,,,53
COLGALT1,collagen beta(1-O)galactosyltransferase 1 ,COLGALT1,2,,,2
DCTN4,dynactin subunit 4 ,DCTN4,4,,,4
MYH10,myosin heavy chain 10 ,MYH10,27,,,27
HNRNPA1,heterogeneous nuclear ribonucleoprotein A1 ,HNRNPA1,128,,,128
GCC2,GRIP and coiled-coil domain containing 2 ,GCC2,9,,,9
XCL1,X-C motif chemokine ligand 1 ,XCL1,47,,,47
ELMO1,engulfment and cell motility 1 ,ELMO1,34,,,34
PRKCD,protein kinase C delta ,PRKCD,51,,,51
HNRNPH1,heterogeneous nuclear ribonucleoprotein H1 ,HNRNPH1,39,,,39
COL8A2,collagen type VIII alpha 2 chain ,COL8A2,6,,,6
CTBP2,C-terminal binding protein 2 ,CTBP2,75,,,75
CD28,CD28 molecule ,CD28,1771,,,1771
BGN,biglycan ,BGN,105,,,105
COL14A1,collagen type XIV alpha 1 chain ,COL14A1,27,,,27
TUBB4B,tubulin beta 4B class IVb ,TUBB4B,6,,,6
HLA-DRA,"major histocompatibility complex, class II, DR alpha ",HLA-DRA,80,,,80
KRT6A,keratin 6A ,KRT6A,60,,,60
CCL27,C-C motif chemokine ligand 27 ,CCL27,69,,,69
DYNLL2,dynein light chain LC8-type 2 ,DYNLL2,3,,,3
GNAO1,G protein subunit alpha o1 ,GNAO1,22,,,22
F11,coagulation factor XI ,F11,92,,,92
COL9A3,collagen type IX alpha 3 chain ,COL9A3,7,,,7
CCL8,C-C motif chemokine ligand 8 ,CCL8,103,,,103
PPARGC1A,PPARG coactivator 1 alpha ,PPARGC1A,103,,,103
PROC,"protein C, inactivator of coagulation factors Va and VIIIa ",PROC,570,,,570
F3,"coagulation factor III, tissue factor ",coagulation factor III,10,,,10
CXCL6,C-X-C motif chemokine ligand 6 ,CXCL6,86,,,86
BMP4,bone morphogenetic protein 4 ,BMP4,472,,,472
ACE2,angiotensin converting enzyme 2 ,ACE2,210,,,210
DCTN3,dynactin subunit 3 ,DCTN3,5,,,5
ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase ,ATIC,66,,,66
HSPD1,heat shock protein family D (Hsp60) member 1 ,HSPD1,60,,,60
HAUS6,HAUS augmin like complex subunit 6 ,HAUS6,6,,,6
CDK5,cyclin dependent kinase 5 ,CDK5,288,,,288
PRKACG,protein kinase cAMP-activated catalytic subunit gamma ,PRKACG,5,,,5
DCTN5,dynactin subunit 5 ,DCTN5,2,,,2
CRTAP,cartilage associated protein ,CRTAP,3,,,3
SMAD1,SMAD family member 1 ,SMAD1,311,,,311
SFN,stratifin ,SFN,583,,,583
CAPZA3,capping actin protein of muscle Z-line subunit alpha 3 ,CAPZA3,1,,,1
HCLS1,hematopoietic cell-specific Lyn substrate 1 ,HCLS1,20,,,20
MTA1,metastasis associated 1 ,MTA1,366,,,366
PBX1,PBX homeobox 1 ,PBX1,492,,,492
KRT14,keratin 14 ,KRT14,91,,,91
HSPA1A,heat shock protein family A (Hsp70) member 1A ,HSPA1A,113,,,113
HSPA1L,heat shock protein family A (Hsp70) member 1 like ,HSPA1L,21,,,21
PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1 ,PAFAH1B1,16,,,16
FAS,Fas cell surface death receptor ,FAS,6347,,,6347
ANAPC4,anaphase promoting complex subunit 4 ,ANAPC4,5,,,5
GPC1,glypican 1 ,GPC1,103,,,103
CLTCL1,clathrin heavy chain like 1 ,CLTCL1,6,,,6
NCK2,NCK adaptor protein 2 ,NCK2,13,,,13
DNM2,dynamin 2 ,DNM2,33,,,33
XPO1,exportin 1 ,XPO1,360,,,360
ITPR3,"inositol 1,4,5-trisphosphate receptor type 3 ",ITPR3,27,,,27
CCL17,C-C motif chemokine ligand 17 ,CCL17,215,,,215
NHERF1,NHERF family PDZ scaffold protein 1 ,NHERF1,82,,,82
PPFIBP1,PPFIA binding protein 1 ,PPFIBP1,12,,,12
COL12A1,collagen type XII alpha 1 chain ,COL12A1,55,,,55
MYL12B,myosin light chain 12B ,MYL12B,3,,,3
KIF18A,kinesin family member 18A ,KIF18A,55,,,55
OPTN,optineurin ,OPTN,106,,,106
SDC4,syndecan 4 ,SDC4,89,,,89
EFNB2,ephrin B2 ,EFNB2,60,,,60
IL1B,interleukin 1 beta ,IL1B,637,,,637
RRBP1,ribosome binding protein 1 ,RRBP1,23,,,23
F10,coagulation factor X ,F10,811,,,811
MASP1,MBL associated serine protease 1 ,MASP1,17,,,17
RAP1B,"RAP1B, member of RAS oncogene family ",RAP1B,72,,,72
EPHB2,EPH receptor B2 ,EPHB2,190,,,190
COL4A2,collagen type IV alpha 2 chain ,COL4A2,81,,,81
NAT10,N-acetyltransferase 10 ,NAT10,83,,,83
CD63,CD63 molecule ,CD63,615,,,615
XCL2,X-C motif chemokine ligand 2 ,XCL2,15,,,15
EPHA1,EPH receptor A1 ,EPHA1,56,,,56
ESAM,endothelial cell adhesion molecule ,ESAM,13,,,13
EPHB1,EPH receptor B1 ,EPHB1,56,,,56
F11R,F11 receptor ,F11R,21,,,21
FCN2,ficolin 2 ,FCN2,10,,,10
COL26A1,collagen type XXVI alpha 1 chain ,COL26A1,1,,,1
WDCP,WD repeat and coiled coil containing ,WDCP,2,,,2
RET,ret proto-oncogene ,RET,5191,567,1022,5191
ATP5MG,ATP synthase membrane subunit g ,ATP5MG,0,,,0
GDNF,glial cell derived neurotrophic factor ,GDNF,306,,,306
KRT2,keratin 2 ,KRT2,6,,,6
PSMD2,"proteasome 26S subunit ubiquitin receptor, non-ATPase 2 ",PSMD2,24,,,24
CDH5,cadherin 5 ,CDH5,62,,,62
KRT10,keratin 10 ,KRT10,25,,,25
TFDP1,transcription factor Dp-1 ,TFDP1,51,,,51
MYL5,myosin light chain 5 ,MYL5,8,,,8
